rank	source_id	year	doi	title	venue	type	abstract
26	471891964e13c8a3e9b955cac916442b35961e6e	2023	10.1038/s41467-024-45921-9	Organization of reward and movement signals in the basal ganglia and cerebellum	bioRxiv	JournalArticle	The basal ganglia and the cerebellum are major subcortical structures in the motor system. The basal ganglia have been cast as the reward center of the motor system, whereas the cerebellum is thought to be involved in adjusting sensorimotor parameters. Recent findings of reward signals in the cerebellum have challenged this dichotomous view. To compare the basal ganglia and the cerebellum directly, we recorded from oculomotor regions in both structures from the same monkeys. We partitioned the trial-by-trial variability of the neurons into reward and eye-movement signals to compare the coding across structures. Reward expectation and movement signals were the most pronounced in the output structure of the basal ganglia, intermediate in the cerebellum, and the smallest in the input structure of the basal ganglia. These findings suggest that reward and movement information is sharpened through the basal ganglia, resulting in a higher signal-to-noise ratio than in the cerebellum.
27	b73a75dcf565d714c951a73af9a709fd00b3a333	2025	10.62225/2583049x.2025.5.6.6460	Beyond One-for-One Job Replacement: Modeling Diversification Pathways for Economic Resilience in Post-Fossil-Fuel Regions	International Journal of Advanced Multidisciplinary Research and Studies	JournalArticle	This paper develops a conceptual framework for regional economic diversification after fossil fuels that treats engineering innovation and socio-technical analysis as a single integrated design problem rather than as separate concerns addressed in sequence. The framework is motivated by a persistent pattern in which technically sound interventions falter in the field because the social and institutional conditions that govern their durability are neither measured nor designed for. In response, this paper articulates a model in which social variables, centrally why one-for-one renewable job substitution reproduces vulnerability, and which mixes most protect the poor, are rendered explicit and brought into the design problem on the same footing as technical parameters. The contribution is conceptual: this paper sets out the foundations of the framework, specifies its components and the relationships among them, illustrates its reasoning, and derives design and policy implications, with the aim of supporting energy systems that are simultaneously technically efficient, economically accessible, socially responsive, and adaptable to developing and resource-dependent regions.
28	8ee91d4598f4d9ca8d1dc8a3abf2561e95ab7eb9	2024	10.1088/1742-6596/2858/1/012037	Research on the influence of multi-agent deep deterministic policy gradient algorithm key parameters in typical scenarios	Journal of Physics: Conference Series	JournalArticle	The MADDPG algorithm is widely used and relatively complete, but there is no intuitive data support for the values of some key parameters. Therefore, the influence law of key parameters on MADDPG in typical scenarios has been studied in this paper. Firstly, three typical experimental scenarios were identified, including collaborative cooperation, collaborative opposition, and collaborative pursuit with basic parameters and hyperparameters. Then, a research plan was formulated by using the control variable method to study the influence of learning rate, reward discount coefficient, and reward function coefficient on algorithm performance. Based on a large number of experimental data comparisons, the optimal values of each parameter under three experimental scenarios were obtained. The results showed that the optimal reward discount coefficient for all three scenarios was the same, indicating that its impact on scene complexity was relatively small. For the optimal learning rate, there was a general trend that the lower complexity collaborative cooperation scenario had an optimal value lower than that of the higher complexity collaborative pursuit and collaborative opposition scenarios. As for the reward coefficient, it could be concluded that when the reward coefficient was large in collaborative cooperation and collaborative opposition scenarios, the convergence and speed of the reward curve became poorer. The reward coefficient in the collaborative pursuit scenario had a less significant impact on the performance of the algorithm.
29	d5c935381ecf91cddc96e9fa99e3848ecca5a43d	2026	10.1017/aer.2026.10205	A triangular number-based reward function for trajectory planning of wing-in-ground crafts towards fast-response and low-deviation altitude changes	Aeronautical Journal	JournalArticle	"
 Altitude adjustment for wing-in-ground (WIG) crafts during obstacle avoidance or mission execution necessitates a rapid response followed by precise stabilisation at the target altitude. Conventional approaches typically treat the minimisation of response time and the minimisation of deviation from the target altitude as two separate objectives. These are assigned weights, and their performance is balanced through iterative trial-and-error adjustment of these weights, ultimately finding a target trajectory after multiple optimisation runs. This paper proposes a novel reward function that yields, via a single deep reinforcement learning pass, a trajectory minimising both the response time and deviation for WIGs’ altitude changes. Formally, this function bounds the reward value based on the deviation magnitude and incorporates triangular numbers to assess the response time. Its underlying principle ensures that the reward gain from reducing the response time outweighs the reward loss incurred by the potential increase in accumulated deviation resulting from that same reduction. The validity of this reward function is verified through mathematical derivation. A numerical example involving a WIG descending to a lower altitude is presented, using proximal policy optimisation. Comparative results against traditional multi-objective functions requiring extensive parameter tuning demonstrate that the proposed reward function directly produces the desired trajectory. This reward function provides a valuable reference for trajectory planning in second-order motion systems aiming to achieve minimised rise time and subsequent minimised integrated absolute error."
30	f43d818c80240a81f14739ab27bbcb03ef2e90fb	2026	10.36807/2411-7269-2026-1-44-56-62	CLASSIFICATION OF REGIONS IN THE SIBERIAN FEDERAL DISTRICT BASED ON SOCIO-ECONOMIC DEVELOPMENT PARAMETERS	ECONOMIC VECTOR	JournalArticle	The article is devoted to a comprehensive analysis of methodological approaches to the classification of regions within a federal district. The relevance of the topic is due to the need to develop a differentiated regional policy that takes into account the significant internal heterogeneity, even within the same district. The purpose of the work is to sys-tematize existing typologies and develop a comprehensive approach to the classifica-tion of regions, addressing the economic, social, and classification criteria, as well as their advantages and limitations. The article proposes a classification of regions based on an integral criterion, which overcomes the fragmentation of traditional one-dimensional gradations and provides a more comprehen-sive understanding of the specific features of each federal subject in the context of its macroregional environment. The significance of the work lies in the possibility of its appli-cation for optimizing the management of ter-ritorial development at the mesolevel.
31	3f1c41a11692419a482a62d17496a3f1dc7f9a4a	2024	10.1109/CAI59869.2024.00115	Fed-SHARC: Resilient Decentralized Federated Learning based on Reward driven Clustering	Conference on Algebraic Informatics	JournalArticle	Federated Learning (FL) is an attractive machine learning paradigm that facilitates collaborative machine learning at the decentralized level and produces insightful results. However, in cases where the participating clients have non-IID (non independent and identical data) distributions, it produces suboptimal results. Furthermore, gradient leakage attacks have been shown in federated learning to be capable of leaking confidential information from global model parameters, hence posing a severe risk to user privacy. In this work, we develop a method called Fed-SHARC, a Secure Hierarchical model Aggregation by clustering in a decentralized federated learning framework that addresses data heterogeneity issues to achieve good performance while guarding the framework against gradient leakage attacks. Secure model aggregation occurs at two stages in this hierarchical approach. Phase-1 involves exploiting differential privacy to aggregate the models of the reward-driven clustered clients. On the other hand, giving each participant with heterogeneous data the same privacy budget will have a significant impact on the performance. As an effective multi-participant budget allocation technique, we suggest an efficient weighted noise injection policy that modifies the privacy budget based on the data distributions of clients. Phase-2 involves selecting a leader from each cluster’s highly rewarded clients to take part in the multi-party computation enabled inter-cluster secure model aggregation. Experiments conducted on three benchmark public datasets demonstrate the effectiveness of the proposed Fed-SHARC in terms of privacy and performance. Furthermore, we verify its resilience against gradient leakage attacks.
32	a2b41d574df9929438eee16fd5fbb018dc0ae99c	2023	10.1016/j.compbiomed.2023.106617	A hybrid cancer prediction based on multi-omics data and reinforcement learning state action reward state action (SARSA)	Comput. Biol. Medicine	JournalArticle	"These days, the ratio of cancer diseases among patients has been growing day by day. Recently, many cancer cases have been reported in different clinical hospitals. Many machine learning algorithms have been suggested in the literature to predict cancer diseases with the same class types based on trained and test data. However, there are many research rooms available for further research. In this paper, the studies look into the different types of cancer by analyzing, classifying, and processing the multi-omics dataset in a fog cloud network. Based on SARSA on-policy and multi-omics workload learning, made possible by reinforcement learning, the study made new hybrid cancer detection schemes. It consists of different layers, such as clinical data collection via laboratories and tool processes (biopsy, colonoscopy, and mammography) at the distributed omics-based clinics in the network. The study considers the different cancer classes such as carcinomas, sarcomas, leukemias, and lymphomas with their types in work and processes them using the multi-omics distributed clinics in work. In order to solve the problem, the study presents omics cancer workload reinforcement learning state action reward state action ""SARSA"" (OCWLS) schemes, which are made up of an on-policy learning scheme on different parameters like states, actions, timestamps, reward, accuracy, and processing time constraints. The goal is to process multiple cancer classes and workload feature matching while reducing the time it takes to process in clinical hospitals that are spread out. Simulation results show that OCWLS is better than other machine learning methods regarding+ processing time, extracting features from multiple classes of cancer, and matching in the system."
33	e8bebb4531b2b5e23e05b135a3667687c5deec8b	2026	10.1038/s41598-026-60354-8	Optimal control strategies and parameter estimation with a time delay dengue model using Penang Hospital data.	Scientific Reports	JournalArticle	Dengue fever is a mosquito-borne viral disease posing a major health challenge in tropical and subtropical regions, including Malaysia, where the climate supports year-round transmission. It affects millions annually, leading to severe illness and hospitalization, while the lack of specific antiviral treatment and the expanding range of Aedes mosquitoes make dengue a persistent global threat. To overcome this issue, this study develops a time delay SEITR-SEI model incorporating two biologically motivated delays representing the human intrinsic and vector extrinsic incubation periods. Firstly, time delay of intrinsic incubation period (IIP) in system captures the dynamics of dengue with time delay in human. The model's dynamics are examined by identifying dengue free and existing equilibria, evaluating the basic reproduction number, and analyzing local and global stability. The dengue free state is stable when the reproduction number is below one; otherwise, a stable endemic state arises. The second delay in the vector compartment represents a delay in the extrinsic incubation period (EIP), which suppresses dengue transmission while allowing the mosquito population to remain sustainable. The model was fitted using real hospital data from Penang General Hospital. These records correspond to patients admitted to Hospital between 2022 and 2023. The model parameters related to the dengue outbreak in this specific area were estimated using the least squares method. Furthermore, using these estimated parameter values, the equilibrium points of the model were also examined through the nonstandard finite difference (NSFD) scheme to ensure numerical stability and dynamic consistency of the system. In addition, a sensitivity analysis was performed to identify the most influential parameters affecting the transmission dynamics of dengue in Penang. Unlike previous studies on simple dengue fever models, this work applies optimal control to a more realistic double-delay model, where graphical comparison showed NSFD outperforming Euler. Simulation results emphasize the importance of biological control strategies, particularly eco-friendly and sustainable approach to limit dengue transmission without eliminating mosquito populations. All over Malaysia, the spread of dengue is nearly same, so the findings provide theoretical insights and practical guidance for dengue control policies in Malaysia.
34	95b3f5fe2595596f6b6812e7c81143e4c0aa6629	2023	10.1101/2023.10.31.563750	Hierarchical encoding of reward, effort and choice across the cortex and basal ganglia during cost-benefit decision making	bioRxiv		Adaptive value-guided decision-making requires weighing up the costs and benefits of pursuing an available opportunity. Though neurons across frontal cortical-basal ganglia circuits have been repeatedly shown to represent decision-related parameters, it is unclear whether and how this information is coordinated. To address this question, we performed large-scale single unit recordings simultaneously across 5 medial/orbital frontal and basal ganglia regions as rats decided whether to pursue varying reward payoffs available at different effort costs. We found that single neurons encoding combinations of the canonical decision variables (reward, effort and choice) were represented within all recorded brain regions. Co-active cell assemblies - ensembles of neurons that repeatedly co-activated within short time windows (<25ms) within and across structures - were able to provide representations of the same decision variables through the synchronisation of individual neurons with different coding properties. Together, these findings demonstrate a hierarchical encoding structure for cost-benefit computations, where individual neurons with diverse encoding properties are coordinated into larger, low-dimensional spaces within and across brain regions that can signal decision parameters on the millisecond timescale.
35	754753df2342e08cb28e4a4c7da6e099cf9c924f	2026	10.65150/ep-gjetr/v2e6/2026-04	A Unified Socio-Technical Design Framework for Equitable Energy Transition in Resource-Dependent Regions 2026	Global Journal of Engineering and Technology Research	JournalArticle	This paper develops a conceptual framework for unified socio-technical design for energy transition that treats engineering innovation and socio-technical analysis as a single integrated design problem rather than as separate concerns addressed in sequence. The framework is motivated by a persistent pattern in which technically sound interventions falter in the field because the social and institutional conditions that govern their durability are neither measured nor designed for. In response, this paper articulates a model in which social variables, centrally a general method making the social dimension as tractable and optimizable as the engineering dimension, are rendered explicit and brought into the design problem on the same footing as technical parameters. The contribution is conceptual: this paper sets out the foundations of the framework, specifies its components and the relationships among them, illustrates its reasoning, and derives design and policy implications, with the aim of supporting energy systems that are simultaneously technically efficient, economically accessible, socially responsive, and adaptable to developing and resource-dependent regions
36	6eab38d67d6cec6f0faf62a8dd9cdcae59360b21	2023	10.3390/s23136101	An Improved Distributed Sampling PPO Algorithm Based on Beta Policy for Continuous Global Path Planning Scheme	Italian National Conference on Sensors	JournalArticle	Traditional path planning is mainly utilized for path planning in discrete action space, which results in incomplete ship navigation power propulsion strategies during the path search process. Moreover, reinforcement learning experiences low success rates due to its unbalanced sample collection and unreasonable design of reward function. In this paper, an environment framework is designed, which is constructed using the Box2D physics engine and employs a reward function, with the distance between the agent and arrival point as the main, and the potential field superimposed by boundary control, obstacles, and arrival point as the supplement. We also employ the state-of-the-art PPO (Proximal Policy Optimization) algorithm as a baseline for global path planning to address the issue of incomplete ship navigation power propulsion strategy. Additionally, a Beta policy-based distributed sample collection PPO algorithm is proposed to overcome the problem of unbalanced sample collection in path planning by dividing sub-regions to achieve distributed sample collection. The experimental results show the following: (1) The distributed sample collection training policy exhibits stronger robustness in the PPO algorithm; (2) The introduced Beta policy for action sampling results in a higher path planning success rate and reward accumulation than the Gaussian policy at the same training time; (3) When planning a path of the same length, the proposed Beta policy-based distributed sample collection PPO algorithm generates a smoother path than traditional path planning algorithms, such as A*, IDA*, and Dijkstra.
37	8a69919888420871699119ab829a713f4c1fcc75	2026	10.48550/arXiv.2603.18938	Kernel Single-Index Bandits: Estimation, Inference, and Learning	arXiv.org	JournalArticle	We study contextual bandits with finitely many actions in which the reward of each arm follows a single-index model with an arm-specific index parameter and an unknown nonparametric link function. We consider a regime in which arms correspond to stable decision options and covariates evolve adaptively under the bandit policy. This setting creates significant statistical challenges: the sampling distribution depends on the allocation rule, observations are dependent over time, and inverse-propensity weighting induces variance inflation. We propose a kernelized $\varepsilon$-greedy algorithm that combines Stein-based estimation of the index parameters with inverse-propensity-weighted kernel ridge regression for the reward functions. This approach enables flexible semiparametric learning while retaining interpretability. Our analysis develops new tools for inference with adaptively collected data. We establish asymptotic normality for the single-index estimator under adaptive sampling, yielding valid confidence regions, and derive a directional functional central limit theorem for the RKHS estimator, which provides asymptotically valid pointwise confidence intervals. The analysis relies on concentration bounds for inverse-weighted Gram matrices together with martingale central limit theorems. We further obtain finite-time regret guarantees, including $\tilde{O}(\sqrt{T})$ rates under common-link Lipschitz conditions, showing that semiparametric structure can be exploited without sacrificing statistical efficiency. These results provide a unified framework for simultaneous learning and inference in single-index contextual bandits.
38	d1d448fb1bda8f5571981cbe9cae811919804e2b	2025	10.55056/ceur-ws.org/vol-4048/paper37.pdf	Adaptive Learning Control via Proximal Policy Optimization	International Conference on Information Control Systems & Technologies	JournalArticle	This paper presents a reinforcement-learning (RL) framework in which an intelligent tutoring system (ITS) acts as the agent and the student is modelled as the environment. A custom OpenAI Gym simulation captures key cognitive and behavioral parameters (decision time, help-request frequency, task accuracy, etc.). Three instructional strategies are compared under identical conditions: a rule-based tutor, Deep Q- Network (DQN), and Proximal Policy Optimization (PPO). PPO converges within 10 15 iterations and attains up to 12 × higher cumulative reward than DQN. Relative to the rule-based tutor (help-request rate = 0.40 req / task, task accuracy = 0.70), PPO lowers the help- to 0.83 (+18 %). To verify that these simulated gains transfer to authentic data, we replayed the learned policies on 0.9 million interaction logs from the public ASSISTments-2017 dataset. PPO achieved a +17 % improvement in NDCG for post-test accuracy and a +4.4 % increase in inverse-propensity-scored reward over the same rule- based baseline, corroborating the simulation results. These findings demonstrate that PPO enables robust, data-efficient personalization and can overcome the limitations of static e-learning courses, paving the way for next-generation adaptive tutoring systems.
39	5ab6dda5ac42c29f97b34ef49bbf2afed1b9d371	2025	10.1007/s40747-025-01785-0	Demonstration and offset augmented meta reinforcement learning with sparse rewards	Complex & Intelligent Systems	JournalArticle	This paper introduces DOAMRL, a novel meta-reinforcement learning (meta-RL) method that extends the Model-Agnostic Meta-Learning (MAML) framework. The method addresses a key limitation of existing meta-RL approaches, which struggle to effectively use suboptimal demonstrations to guide training in sparse reward environments. DOAMRL effectively combines reinforcement learning (RL) and imitation learning (IL) within the inner loop of the MAML framework, with dynamically adjusted weights applied to the IL component. This enables the method to leverage the exploration strengths of RL and the efficiency benefits of IL at different stages of training. Additionally, DOAMRL introduces a meta-learned parameter offset, which enhances targeted exploration in sparse reward settings, helping to guide the meta-policy toward regions with non-zero rewards. To further mitigate the impact of suboptimal demonstration data on meta-training, we propose a novel demonstration data enhancement module that iteratively improves the quality of the demonstrations. We provide a comprehensive analysis of the proposed method, justifying its design choices. A comprehensive comparison with existing methods in various stages (including training and adaptation), using both optimal and suboptimal demonstrations, along with results from ablation and sensitivity analysis, demonstrates that DOAMRL outperforms existing approaches in performance, applicability, and robustness.
40	f9f65a7c77089a69a4d69b109449a1efc9cfe2b5	2026		Supercool with PPO: Exploring Supercooled Phase Transitions via Reinforcement Learning			Gravitational waves from cosmological first-order phase transitions provide a powerful probe of hidden sectors and beyond the Standard Model physics. However, identifying phenomenologically relevant benchmark points remains computationally challenging, since viable and detectable signals typically occupy only a small fraction of the scanned parameter space. In this work, we introduce a reinforcement learning strategy based on Proximal Policy Optimization (PPO) to accelerate the search for gravitational wave signals from supercooled phase transitions in a minimal dark $U(1)_x$ sector. We construct a numerical reinforcement learning environment that maps the microscopic model parameters to the corresponding phase transition and gravitational wave observables, using a gauge-independent low-temperature formulation of the effective action. Several reward designs are developed to guide the agent toward parameter regions producing large gravitational wave amplitudes, broad frequency coverage, and detector sensitive benchmark points. We compare the PPO scans with conventional Monte Carlo scans in both narrow and broad windows of the $U(1)_x$ vacuum expectation value. Our results demonstrate that PPO provides an efficient goal-directed search strategy for gravitational wave phenomenology and offers a broadly applicable framework for learning-assisted exploration of high-dimensional scientific parameter spaces.
41	4f7e0d657e4fa29ec6d75e6a6e76a96520556461	2026	10.65102/is2026866	Design of Reinforcement Learning Model for Industrial Intelligent Decision-Making Driven by Multimodal Data Fusion in Digital Rural Areas	Ingegneria sismica	JournalArticle	The digital rural industry has problems such as complex multi-source heterogeneous data, conflicting decision-making objectives, and weak cross-regional adaptability in the production-tourism-e-commerce chain. The requirements of intelligent development are far too high for traditional single-modality or single-objective optimisers. Therefore, this paper proposes a reinforcement learning model for industrial intelligent decision-making that is driven by multimodal data fusion in digital rural areas. In terms of methods, a multimodal dataset of remote sensing images, meteorological time series, market transactions and policy texts is first constructed, and a unified state space is generated through feature modeling and fusion. At the same time, a multi-objective reward function that combines parallel benefits, costs, risks and sustainability is used. Combine with the Transformer-Actor-Critic policy network and adaptive parameter regulation mechanism to achieve generalised decision optimisation across industries and regions. Experimentally verified on a set of 90,000 samples that covered agricultural production, rural tourism and e-commerce transactions. Based on the above results, the method proposed in this paper has improved the accuracy (to 91.2%), F1 score (to 89.6%), RMSE (to 0.118), and inference delay (to 0.031 s/step) of the baseline models such as Random Forest, DQN and Transformer RL; at the same time, the long-term cumulative reward has increased by more than 20%. Based on the above research results, the model proposed in this paper can enhance the intelligent decision-making capacity of the digital rural economy and also shows strong generalisation ability across regions. This way can provide a realistic technical route for promoting the efficient, green and sustainable development of the digital rural industry, and is feasible to be implemented in the agricultural, tourism and e-commerce sectors.
42	c6ed99dd3849d90166f9b28a10f4e6b84572cb37	2026		Semantic Consistency Policy Optimization for Reinforcement Learning of LLM Agents			Group-based reinforcement learning effectively post-trains LLM agents for long-horizon, sparse-reward tasks by deriving step-level credit from trajectory outcomes. However, this ties a step's credit to its rollout's final outcome: semantically near-identical intermediate steps receive opposite credit depending on whether their trajectory eventually succeeded or failed. Such semantic credit inconsistency sends conflicting gradients to similar actions and wastes the partially-correct progress inside failed rollouts. Motivated by this, we propose Semantic Consistency Policy Optimization (SCPO), a value-free reward-shaping method that mitigates this inconsistency by recovering step-level credit from successful siblings in the same rollout group. Concretely, SCPO scores each failed step against a successful sibling and adds positive step-level credit for new progress along that sibling. On ALFWorld and WebShop, SCPO matches or exceeds strong group-based baselines, reaching 93.7+/-4.1 percent success on ALFWorld and 74.8+/-2.0 percent on WebShop at 1.5B parameters, with gains concentrated on the hardest multi-step tasks.
43	2fe706a7ca941eb019072c7adec131a9660cfc0d	2025	10.14710/geoplanning.12.2.139-158	Deep Learning for Coastal Erosion Assessment: Case Study of Vietnam’s Coastal Regions	Geoplanning: Journal of Geomatics and Planning	JournalArticle	Vietnam’s coastal erosion has experienced a significant increase cause climate change and anthropogenic factors over the past decade. This study intends to analyze the trends of coastline erosion, identify the factors that drive it, and utilize deep learning algorithms to estimate the erosion risk in the future. The National Centre for Hydro-Meteorological Forecasting of Vietnam, Open Development Mekong, and Landsat 8 OLI/TIRS satellite pictures taken between the years 2016 and 2022 are the sources of data for the study, in the 52 erosion prone locations across Vietnam’s coastlines. The significant environmental factors for the model are the height of tides, waves, storm intensity, soil porosity, high monsoon rainfall, sea level rise, temperature, and coastal geomorphology. A Pearson correlation analysis indicates the strongest correlation between storm intensity, wave height, temperature alongside a strong negative correlation of tidal height with rainfall and coastal slope. Accuracy of the forecast was performed with five models: Recurrent Neural Network (RNN), Long Short-Term Memory Network (LSTM), Bidirectional Long Short-Term Memory Network (BiLSTM), Bidirectional RNN (BiRNN), and Hybrid RNN_LSTM. Among the tested models, the Hybrid RNN_LSTM outperformed others, achieving R² and a correlation coefficient to gain 0.77 and 0.91, respectively, at the same time, the study emphasized monsoon winds, storms intensity, and tidal height as the most impactful parameters. These findings can form the basis for data-driven policy and management strategies to improve coastal resilience. Further research should consider anthropogenic activities and land use changes to expand scope and improve model accuracy in areas experiencing global erosion.
44	29d3e0a39e2ea220b057a288cc1b7f323fdfbc9c	2026	10.3390/ijfs14030075	A Hierarchical Signal-to-Policy Learning Framework for Risk-Aware Portfolio Optimization	International Journal of Financial Studies	JournalArticle	This study proposes a hierarchical signal-to-policy learning framework for risk-aware portfolio optimization that integrates model-based return forecasting, explainable machine learning, and deep reinforcement learning (DRL) within a unified architecture. In the first stage, next-period returns are estimated using gradient-boosted tree models, and SHAP-based feature attributions are extracted to provide transparent, factor-level explanations of the predictive signals. In the second stage, a Proximal Policy Optimization (PPO) agent incorporates both predictive forecasts and explanatory signals into its state representation and learns dynamic allocation policies under a mean–CVaR reward function that explicitly penalizes tail risk while controlling trading frictions. By separating signal extraction from policy learning, the proposed architecture allows the use of economically interpretable predictive signals to incorporate into the policy’s state representation while preserving the flexibility and adaptability of reinforcement learning. Empirical evaluations on U.S. sector ETFs and Dow Jones Industrial Average constituents show that the hierarchical framework delivers higher and stable out-of-sample risk-adjusted returns relative to both a single-layer DRL agent trained solely on technical indicators, a mean–CVaR optimized portfolio using the same parameters used in the proposed hierarchical model and standard equal weight as well as index-based benchmarks. These results demonstrate that integrating explainable predictive signals with risk-sensitive reinforcement learning improves the robustness and stability of data-driven portfolio strategies.
45	358f4ad5a5bec933a79fa02b76b6aab759627056	2026	10.1038/s41598-026-57715-8	Adaptive competitive balance regulation in professional sports leagues via graph attention networks and proximal policy optimization.	Scientific Reports	JournalArticle	"Sustaining competitive balance underpins both the commercial vitality and fan engagement of professional sports leagues, yet most regulatory regimes still rely on static rules that cannot track shifting competitive dynamics. We present an integrated framework that couples graph attention networks (GATs) with proximal policy optimization (PPO) for adaptive, data-driven regulatory policy design. The league is cast as a weighted directed graph in which clubs are nodes and edges encode match outcomes, financial flows, and dominance relations. A multi-layer GAT encoder distills this graph into a compact state vector that retains relational patterns across structural scales, and a PPO agent acts on that vector to optimize multi-instrument regulatory actions-salary caps, revenue-sharing ratios, and draft lottery parameters-over multi-season horizons. A composite reward balances competitive parity, revenue preservation, and policy stability. In simulation experiments calibrated to twenty seasons of English Premier League (EPL) and National Basketball Association (NBA) data, the proposed GAT-PPO framework attains competitive balance improvement rates of 32.7% (95% CI: [30.3%, 35.1%]) and 22.1% (95% CI: [19.9%, 24.3%]), respectively, outperforming fixed-rule baselines and ablated variants at statistically significant levels (paired t-test, p < 0.01, Bonferroni-corrected). To remove any ambiguity about comparability, every baseline is evaluated under the same simulator, the same observation frequency, the same state-space dimensionality, and the same five random seeds; this fairness protocol is detailed in Sect.  4.1. Interpretability analysis shows context-sensitive regulatory behavior: interventions intensify under severe imbalance and relax once parity overshoots the target. All results derive from a calibrated simulation environment with bounded-rational agent assumptions. We do not treat ""simulation-based"" as the endpoint of validation. Instead, we propose and partially execute a three-stage real-world validation pathway: (i) distributional face-validity checks against twenty seasons of historical EPL and NBA data using Kolmogorov-Smirnov tests on RSD, HHI, and Gini indices; (ii) directional concordance backtesting against four documented regulatory interventions (NBA 2011 CBA reform, EPL 2013 FFP introduction, NBA 2017 apron rule, EPL 2018 PSR tightening); and (iii) zero-shot transfer to a third league (MLB) outside the training distribution. Together these findings demonstrate the practical promise of pairing graph-structured deep learning with sequential decision-making for league governance."
46	dbbf0e35c3b0a0aaf487a0eb4b2090d48f54f743	2026	10.48550/arXiv.2605.08737	The Extrapolation Cliff in On-Policy Distillation of Near-Deterministic Structured Outputs	arXiv.org	JournalArticle	On-policy distillation (OPD) is widely used for LLM post-training. When pushed with a reward-extrapolation coefficient lambda>1, the student can lift past the teacher in domain, but past a threshold lambda* the same step violates the output contract on structured-output tasks. In a single-position Bernoulli reduction, we derive a closed-form base-relative clip-safety threshold lambda*(p,b,c) determined by three measurable quantities: the teacher modal probability, the warm-start mass, and the importance-sampling clip strength. Above lambda*, the extrapolated fixed point exits the clip-safe region, changing training from format-preserving to format-collapsing. We extend the rule to calibrated K-ary listwise JSON tasks where a single binding equivalence class dominates the output contract and SFT retains parse headroom. On Amazon Fashion, three pre-registered tests--a fine-grid cliff interval, a budget-extension test, and a small-clip cross-prediction--fall within their locked prediction windows, with the small-clip value matching the closed-form prediction below grid resolution. Operating just below lambda*, ListOPD brings a 1.7B Qwen3 student to in-domain parity with an 8B-SFT baseline at one-fifth the parameters. The gain is driven primarily by format adherence: NDCG@1 on parsed outputs remains flat across lambda, while parse validity sharply changes at the predicted boundary. The cliff diagnostic is rubric-independent, whereas the parity claim uses a Gemini-graded rubric and inherits that evaluator's exposure.
47	4e8044f991a24fa3fce6ab87d7966ed90b1018b7	2025	10.48550/arXiv.2505.12415	Table-R1: Region-based Reinforcement Learning for Table Understanding	Annual Meeting of the Association for Computational Linguistics	JournalArticle	Tables present unique challenges for language models due to their structured row-column interactions, necessitating specialized approaches for effective comprehension. While large language models (LLMs) have demonstrated potential in table reasoning through prompting and techniques like chain-of-thought (CoT) and program-of-thought (PoT), optimizing their performance for table question answering remains underexplored. In this paper, we introduce region-based Table-R1, a novel reinforcement learning approach that enhances LLM table understanding by integrating region evidence into reasoning steps. Our method employs Region-Enhanced Supervised Fine-Tuning (RE-SFT) to guide models in identifying relevant table regions before generating answers, incorporating textual, symbolic, and program-based reasoning. Additionally, Table-Aware Group Relative Policy Optimization (TARPO) introduces a mixed reward system to dynamically balance region accuracy and answer correctness, with decaying region rewards and consistency penalties to align reasoning steps. Experiments show that Table-R1 achieves an average performance improvement of 14.36 points across multiple base models on three benchmark datasets, even outperforming baseline models with ten times the parameters, while TARPO reduces response token consumption by 67.5% compared to GRPO, significantly advancing LLM capabilities in efficient tabular reasoning.
48	cb006fa3c835f93696d42f7cefbfc24b6ad55cd7	2026	10.48550/arXiv.2603.15789	Emergent Dexterity via Diverse Resets and Large-Scale Reinforcement Learning	arXiv.org	JournalArticle	Reinforcement learning in massively parallel physics simulations has driven major progress in sim-to-real robot learning. However, current approaches remain brittle and task-specific, relying on extensive per-task engineering to design rewards, curricula, and demonstrations. Even with this engineering, they often fail on long-horizon, contact-rich manipulation tasks and do not meaningfully scale with compute, as performance quickly saturates when training revisits the same narrow regions of state space. We introduce OmniReset, a simple and scalable framework that enables on-policy reinforcement learning to robustly solve a broad class of dexterous manipulation tasks using a single reward function, fixed algorithm hyperparameters, no curricula, and no human demonstrations. Our key insight is that long-horizon exploration can be dramatically simplified by using simulator resets to systematically expose the RL algorithm to the diverse set of robot-object interactions which underlie dexterous manipulation. OmniReset programmatically generates such resets with minimal human input, converting additional compute directly into broader behavioral coverage and continued performance gains. We show that OmniReset gracefully scales to long-horizon dexterous manipulation tasks beyond the capabilities of existing approaches and is able to learn robust policies over significantly wider ranges of initial conditions than baselines. Finally, we distill OmniReset into visuomotor policies which display robust retrying behavior and substantially higher success rates than baselines when transferred to the real world zero-shot. Project webpage: https://weirdlabuw.github.io/omnireset/
