key	year	stage	contribution	evidence	setting	rq_core
doi:10.1101/2024.01.18.24301502	2024	extract	system	benchmark	med	no
doi:10.3389/frai.2024.1454945	2024	extract	method	benchmark	med	no
doi:10.1186/s13326-024-00305-2	2024	extract	evaluation	benchmark	med	no
doi:10.12688/f1000research.151493.2	2024	extract	guideline	none	general	no
doi:10.1016/j.artmed.2024.102989	2024	screen	evaluation	benchmark	med	no
doi:10.14569/ijacsa.2024.01501122	2024	end2end	method	none	general	no
doi:10.1093/pnasnexus/pgae461	2024	meta	position	none	med	no
doi:10.34190/ecrm.23.1.2528	2024	meta	evaluation	none	general	no
doi:10.2196/55827	2024	screen	evaluation	human-agree	med	yes
doi:10.1186/s12967-023-04371-5	2024	search	evaluation	none	med	no
doi:10.20944/preprints202407.2198.v1	2024	screen	method	benchmark	med	no
doi:10.1016/j.jval.2024.10.2450	2024	screen	evaluation	human-agree	med	yes
doi:10.1016/j.ecoinf.2024.102819	2024	screen	evaluation	none	general	no
doi:10.1007/s10648-024-09972-0	2024	meta	evaluation	none	general	no
doi:10.1007/978-3-031-56069-9_28	2024	end2end	system	none	general	no
doi:10.31234/osf.io/nq4d2	2024	extract	evaluation	human-agree	general	yes
doi:10.1177/02683962251371062	2025	meta	position	none	general	no
doi:10.1093/nsr/nwaf169	2025	end2end	method	human-agree	general	yes
doi:10.1007/s00134-025-08226-z	2025	report	guideline	none	med	no
doi:10.1136/bmjebm-2024-113320	2025	meta	position	none	med	no
doi:10.1002/cesm.70036	2025	extract	evaluation	human-agree	med	yes
doi:10.1080/26408066.2025.2548853	2025	synthesize	evaluation	human-agree	general	yes
doi:10.29173/cais2020	2025	extract	evaluation	benchmark	general	no
doi:10.1101/2025.08.04.25332893	2025	end2end	system	benchmark	med	yes
doi:10.1017/rsm.2025.16	2025	meta	evaluation	human-agree	general	yes
doi:10.1186/s12874-025-02583-5	2025	screen	evaluation	benchmark	med	yes
doi:10.1038/s41467-025-62058-5	2025	end2end	system	human-agree	med	yes
doi:10.1016/j.jbi.2025.104860	2025	screen	system	none	med	no
doi:10.1038/s41467-025-62783-x	2025	synthesize	system	benchmark	med	no
doi:10.1109/icarc64760.2025.10963273	2025	meta	evaluation	benchmark	general	yes
doi:10.34133/hds.0322	2025	screen	system	benchmark	med	no
doi:10.3389/frma.2025.1684137	2025	appraise	evaluation	human-agree	general	yes
doi:10.1016/j.acra.2025.08.014	2025	screen	evaluation	human-agree	med	yes
doi:10.1145/3726302.3730133	2025	screen	system	none	med	no
doi:10.1017/rsm.2025.10054	2025	screen	method	human-agree	med	yes
doi:10.1101/2025.08.24.25334314	2025	screen	method	benchmark	general	no
doi:10.1097/fjc.0000000000001768	2025	screen	evaluation	benchmark	med	no
doi:10.2196/preprints.87065	2025	end2end	method	none	general	no
doi:10.1093/jamia/ocaf030	2025	end2end	system	benchmark	med	no
doi:10.1017/rsm.2025.15	2025	screen	evaluation	human-agree	med	yes
doi:10.1017/rsm.2025.10030	2025	extract	system	human-agree	med	yes
doi:10.2196/76252	2025	screen	method	human-agree	med	yes
doi:10.1109/esem64174.2025.00053	2025	screen	evaluation	benchmark	se	yes
doi:10.1016/j.jdent.2025.105846	2025	extract	evaluation	human-agree	med	yes
doi:10.1016/j.jval.2025.07.001	2025	meta	evaluation	human-agree	med	yes
doi:10.1177/08944393251404052	2025	extract	evaluation	human-agree	med	yes
doi:10.1002/cesm.70063	2025	meta	guideline	none	med	yes
doi:10.1016/j.jclinepi.2025.111738	2025	meta	evaluation	none	general	yes
doi:10.1136/bmjebm-2024-113066	2025	extract	evaluation	human-agree	med	yes
doi:10.1016/j.jdent.2025.106245	2025	extract	evaluation	human-agree	med	yes
doi:10.1017/rsm.2024.16	2025	screen	evaluation	benchmark	general	no
doi:10.1080/2833373x.2025.2546791	2025	extract	position	none	med	no
doi:10.1002/wcms.70047	2025	extract	system	none	general	no
doi:10.2196/72412	2025	appraise	evaluation	none	med	no
doi:10.1016/j.jcrc.2025.155358	2025	synthesize	evaluation	human-agree	med	yes
doi:10.1002/cesm.70031	2025	screen	evaluation	human-agree	general	yes
doi:10.1002/cesm.70061	2025	extract	evaluation	human-agree	med	yes
doi:10.1016/j.cmpb.2025.108962	2025	extract	system	none	med	no
doi:10.1136/bmjopen-2025-106546	2025	extract	evaluation	human-agree	med	yes
doi:10.1186/s13018-025-06386-8	2025	extract	evaluation	human-agree	med	yes
doi:10.1016/j.vhri.2025.101539	2025	extract	evaluation	human-agree	general	yes
doi:10.1177/03400352251342513	2025	meta	evaluation	none	med	no
doi:10.1101/2025.03.20.25324350	2025	extract	evaluation	human-agree	med	yes
doi:10.64898/2025.12.22.25342875	2025	end2end	evaluation	human-agree	med	yes
doi:10.1016/j.jeph.2025.202990	2025	appraise	evaluation	human-agree	med	yes
doi:10.1007/s00146-025-02406-7	2025	meta	evaluation	human-agree	general	yes
doi:10.2196/68666	2025	extract	system	human-agree	med	yes
doi:10.1007/s10916-025-02212-0	2025	appraise	evaluation	human-agree	med	yes
doi:10.3390/biomedinformatics5020025	2025	screen	evaluation	benchmark	med	yes
doi:10.1007/s10916-025-02246-4	2025	screen	evaluation	human-agree	med	yes
doi:10.1016/j.jval.2025.08.001	2025	synthesize	method	none	med	no
doi:10.1109/wsese66602.2025.00010	2025	meta	position	none	se	no
doi:10.1017/rsm.2025.1	2025	screen	system	benchmark	med	no
doi:10.1111/jocn.17818	2025	screen	evaluation	human-agree	med	yes
doi:10.1017/rsm.2025.10031	2025	screen	system	human-agree	med	yes
doi:10.1016/j.adaj.2025.08.011	2025	meta	evaluation	benchmark	med	yes
doi:10.12923/pielxxiw-2025-0002	2025	search	method	benchmark	med	no
doi:10.1136/rapm-2024-106358	2025	end2end	evaluation	human-agree	med	yes
doi:10.2196/81597	2025	meta	evaluation	none	med	no
doi:10.1016/j.imed.2025.12.006	2025	screen	evaluation	human-agree	med	yes
doi:10.1101/2025.07.21.25331917	2025	extract	evaluation	human-agree	med	yes
doi:10.21203/rs.3.rs-7265470/v1	2025	end2end	system	none	general	no
doi:10.1002/cesm.70047	2025	appraise	evaluation	benchmark	med	yes
doi:10.1186/s13750-025-00370-9	2025	screen	evaluation	benchmark	general	no
doi:10.1109/cbi68102.2025.00012	2025	meta	evaluation	none	general	no
doi:10.1007/s11301-025-00522-8	2025	end2end	method	none	general	no
doi:10.1109/access.2025.3554504	2025	end2end	evaluation	human-agree	general	yes
doi:10.1186/s13750-025-00362-9	2025	extract	evaluation	human-agree	general	yes
doi:10.1016/j.lindif.2025.102849	2025	meta	guideline	none	general	no
doi:10.1016/j.rmal.2025.100258	2025	screen	evaluation	none	general	no
doi:10.1016/j.ipm.2025.104245	2025	meta	method	none	general	no
doi:10.1111/itor.70054	2025	meta	evaluation	benchmark	general	yes
doi:10.3389/frai.2025.1587244	2025	end2end	evaluation	benchmark	med	no
doi:10.3390/info16050420	2025	end2end	system	none	general	no
doi:10.5195/jmla.2025.1860	2025	screen	evaluation	none	med	no
doi:10.1021/acs.jchemed.5c00931	2025	synthesize	method	none	general	no
doi:10.1002/pra2.1290	2025	search	evaluation	benchmark	general	yes
doi:10.1136/bjo-2024-326254	2025	screen	evaluation	human-agree	med	yes
doi:10.2196/80247	2025	report	guideline	none	med	yes
doi:10.1002/cesm.70050	2025	search	evaluation	human-agree	med	yes
doi:10.1002/cesm.70059	2025	end2end	system	human-agree	general	yes
doi:10.1093/jamia/ocaf117	2025	appraise	evaluation	human-agree	med	yes
doi:10.1016/j.jbi.2025.104911	2025	screen	system	benchmark	med	no
doi:10.1017/rsm.2025.10034	2025	search	evaluation	human-agree	med	yes
doi:10.1101/2025.09.02.25334159	2025	screen	evaluation	human-agree	med	yes
doi:10.1101/2025.11.03.25339455	2025	screen	evaluation	human-agree	med	yes
doi:10.1145/3731120.3744586	2025	screen	system	none	general	no
doi:10.6087/kcse.384	2025	meta	evaluation	benchmark	general	yes
doi:10.1371/journal.pone.0323563	2025	search	system	none	general	no
doi:10.1109/icmet67594.2025.11452106	2025	report	guideline	none	general	yes
doi:10.1145/3747912.3747962	2025	meta	evaluation	benchmark	general	no
doi:10.64898/2025.12.24.25342959	2025	extract	evaluation	benchmark	med	yes
doi:10.1017/rsm.2025.10044	2025	screen	evaluation	human-agree	general	yes
doi:10.1016/j.jclinane.2025.112030	2025	screen	method	human-agree	med	yes
doi:10.1021/acsomega.5c04542	2025	synthesize	method	none	general	no
doi:10.69528/jkmla.2025.52.1.28	2025	search	evaluation	human-agree	med	yes
doi:10.3390/educsci15111488	2025	screen	evaluation	human-agree	general	yes
doi:10.1200/cci-25-00233	2025	end2end	system	benchmark	med	no
doi:10.5220/0013562900003967	2025	screen	evaluation	human-agree	general	yes
doi:10.21037/jmai-24-408	2025	screen	evaluation	human-agree	general	yes
doi:10.1109/cinti67731.2025.11311831	2025	screen	evaluation	human-agree	general	yes
doi:10.1007/978-3-032-11442-6_39	2025	screen	evaluation	human-agree	med	yes
doi:10.1021/acsami.5c08837	2025	report	system	benchmark	general	no
doi:10.1016/j.ijmedinf.2025.106205	2025	screen	method	benchmark	med	no
doi:10.3390/electronics14173404	2025	synthesize	method	benchmark	se	yes
doi:10.1007/978-981-95-3456-2_27	2025	report	evaluation	benchmark	se	no
doi:10.1109/ieses66335.2025.11359889	2025	synthesize	method	none	general	no
doi:10.1177/15230864251405885	2025	search	position	none	med	no
doi:10.1371/journal.pone.0313401	2025	extract	evaluation	human-agree	med	yes
doi:10.3389/fphar.2025.1454245	2025	meta	evaluation	none	med	no
doi:10.1186/s13643-025-02997-8	2025	screen	evaluation	human-agree	general	yes
doi:10.1016/j.compbiomed.2025.110464	2025	search	evaluation	benchmark	med	no
doi:10.1016/j.jclinepi.2025.111894	2025	report	evaluation	human-agree	med	yes
doi:10.1093/eurpub/ckaf072	2025	appraise	evaluation	human-agree	med	yes
doi:10.1016/j.patter.2025.101318	2025	screen	system	benchmark	general	yes
doi:10.1016/j.jdent.2025.105877	2025	screen	evaluation	human-agree	med	yes
doi:10.1186/s12911-025-03138-w	2025	screen	evaluation	benchmark	general	yes
doi:10.1016/j.jclinepi.2025.112102	2025	report	evaluation	human-agree	med	yes
doi:10.1186/s13643-025-02895-z	2025	end2end	system	none	med	no
doi:10.1136/bmjopen-2025-099921	2025	screen	evaluation	none	general	no
doi:10.1002/cesm.70048	2025	appraise	evaluation	human-agree	med	yes
doi:10.7142/igakutoshokan.72.3_136	2025	screen	evaluation	none	general	no
doi:10.1007/s12178-025-10001-y	2025	screen	evaluation	human-agree	med	yes
doi:10.7717/peerj-cs.2822	2025	screen	evaluation	human-agree	med	yes
doi:10.1016/j.imr.2025.101217	2025	end2end	system	benchmark	med	no
doi:10.1227/neu.0000000000003450	2025	screen	evaluation	human-agree	med	yes
doi:10.1080/00332747.2025.2541531	2025	synthesize	evaluation	none	med	no
doi:10.1038/s41598-025-99423-9	2025	extract	guideline	benchmark	general	no
doi:10.1007/s41060-025-00731-0	2025	synthesize	evaluation	benchmark	general	no
doi:10.2196/63347	2025	report	evaluation	benchmark	med	no
doi:10.1016/j.jaad.2025.03.101	2025	report	guideline	none	general	yes
doi:10.1101/2025.04.08.25325463	2025	screen	method	benchmark	general	no
doi:10.1186/s12874-025-02528-y	2025	search	evaluation	human-agree	general	yes
doi:10.1007/978-3-032-02813-6_1	2025	end2end	method	none	se	no
doi:10.1136/rapm-2024-106231	2025	search	evaluation	benchmark	med	no
doi:10.20944/preprints202501.2029.v1	2025	screen	evaluation	human-agree	med	yes
doi:10.20944/preprints202502.0396.v1	2025	screen	guideline	none	med	no
doi:10.1002/cesm.70046	2025	meta	evaluation	none	general	no
doi:10.7326/annals-25-00012	2025	screen	position	none	general	no
doi:10.1145/3742414.3794723	2026	search	evaluation	none	general	no
doi:10.1007/978-3-032-30813-9_3	2026	screen	method	none	med	no
doi:10.21203/rs.3.rs-9789751/v1	2026	screen	evaluation	none	general	no
doi:10.36469/001c.165173	2026	meta	evaluation	human-agree	med	yes
doi:10.7759/cureus.111193	2026	end2end	system	benchmark	med	no
doi:10.1080/10447318.2026.2646419	2026	end2end	system	none	general	no
doi:10.1186/s12874-025-02729-5	2026	extract	evaluation	human-agree	med	yes
doi:10.1145/3772363.3798755	2026	extract	system	human-agree	general	yes
doi:10.1186/s13643-026-03228-4	2026	screen	method	human-agree	general	yes
doi:10.1007/s40273-026-01648-7	2026	end2end	system	human-agree	med	yes
doi:10.1055/a-2890-8325	2026	end2end	evaluation	human-agree	med	yes
doi:10.64898/2026.07.01.26356995	2026	screen	evaluation	human-agree	med	yes
doi:10.1007/s41666-026-00246-8	2026	screen	method	none	general	no
doi:10.1038/s44355-026-00068-w	2026	end2end	evaluation	human-agree	med	yes
doi:10.1038/s41432-026-01206-2	2026	synthesize	method	none	med	no
doi:10.1145/3777490.3777511	2026	end2end	system	none	general	no
doi:10.1016/j.jval.2026.06.012	2026	meta	evaluation	none	general	no
doi:10.64898/2026.04.13.26350802	2026	meta	evaluation	human-agree	med	yes
doi:10.23736/s2724-606x.25.05849-x	2026	screen	evaluation	human-agree	med	yes
doi:10.64898/2026.03.04.26347506	2026	screen	evaluation	human-agree	med	yes
doi:10.1109/saner-c67878.2026.00047	2026	screen	evaluation	human-agree	se	yes
doi:10.3390/info17050449	2026	screen	evaluation	benchmark	med	no
doi:10.1002/cesm.70088	2026	end2end	system	none	general	no
doi:10.1007/978-3-032-30801-6_6	2026	end2end	system	none	general	no
doi:10.2196/preprints.106373	2026	end2end	method	human-agree	general	yes
doi:10.2139/ssrn.7048543	2026	meta	guideline	none	general	yes
doi:10.1111/jebm.70166	2026	screen	evaluation	human-agree	med	yes
doi:10.3389/fdgth.2026.1799623	2026	extract	evaluation	human-agree	med	yes
doi:10.1017/rsm.2026.10080	2026	extract	evaluation	human-agree	general	yes
doi:10.21203/rs.3.rs-8729984/v1	2026	meta	evaluation	none	general	no
doi:10.64898/2026.02.25.26347053	2026	extract	evaluation	human-agree	med	yes
doi:10.1007/s10648-026-10136-5	2026	extract	evaluation	human-agree	general	yes
doi:10.1002/ksa.70412	2026	extract	evaluation	human-agree	med	yes
doi:10.3390/jcm15156005	2026	extract	evaluation	human-agree	med	yes
doi:10.1186/s12916-026-04709-y	2026	end2end	system	none	med	no
doi:10.1186/s13750-026-00381-0	2026	extract	evaluation	human-agree	general	yes
doi:10.3390/info17050501	2026	screen	evaluation	human-agree	general	yes
doi:10.3758/s13428-026-03052-7	2026	extract	evaluation	benchmark	general	yes
doi:10.1017/rsm.2025.10066	2026	extract	evaluation	human-agree	med	yes
doi:10.1016/j.puhe.2026.106220	2026	meta	position	none	general	no
doi:10.1016/j.prosdent.2026.02.009	2026	end2end	evaluation	human-agree	med	yes
doi:10.1136/bmjebm-2025-114044	2026	extract	evaluation	human-agree	med	yes
doi:10.1016/j.prevetmed.2026.106908	2026	screen	method	human-agree	med	yes
doi:10.2196/preprints.103608	2026	appraise	evaluation	none	general	yes
doi:10.3390/bioengineering13070773	2026	extract	evaluation	human-agree	med	yes
doi:10.1016/j.beth.2026.07.001	2026	extract	evaluation	human-agree	med	yes
doi:10.64898/2026.02.07.26345640	2026	screen	method	human-agree	general	yes
doi:10.2196/preprints.97813	2026	report	evaluation	none	general	no
doi:10.2196/81049	2026	end2end	system	human-agree	med	yes
doi:10.3390/informatics13030043	2026	meta	guideline	none	general	no
doi:10.1016/j.cag.2026.104537	2026	screen	method	none	se	yes
doi:10.1371/journal.pone.0342895	2026	end2end	system	human-agree	med	yes
doi:10.1038/s41746-026-02431-w	2026	end2end	evaluation	human-agree	med	yes
doi:10.1016/j.jval.2025.12.019	2026	meta	guideline	none	general	yes
doi:10.2196/92132	2026	synthesize	guideline	none	med	no
doi:10.21203/rs.3.rs-10200494/v1	2026	synthesize	method	none	med	no
doi:10.2196/preprints.107732	2026	extract	evaluation	none	med	no
doi:10.1016/j.jclinepi.2026.112221	2026	meta	evaluation	human-agree	general	yes
doi:10.1002/cesm.70082	2026	screen	evaluation	human-agree	med	yes
doi:10.2106/jbjs.25.01373	2026	end2end	position	none	med	no
doi:10.64898/2026.02.17.706322	2026	extract	evaluation	human-agree	general	yes
doi:10.1145/3776734.3794506	2026	screen	evaluation	human-agree	general	yes
doi:10.64898/2026.04.08.26350384	2026	screen	system	benchmark	med	yes
doi:10.21203/rs.3.rs-9582053/v1	2026	extract	evaluation	none	general	no
doi:10.1186/s12874-026-02892-3	2026	end2end	evaluation	human-agree	med	yes
doi:10.21203/rs.3.rs-9590065/v1	2026	synthesize	method	none	general	no
doi:10.1016/j.jclinepi.2026.112383	2026	meta	evaluation	none	med	yes
doi:10.1080/14737167.2026.2691995	2026	screen	method	benchmark	med	no
doi:10.1080/14737167.2026.2695957	2026	meta	position	none	med	no
doi:10.64898/2026.06.26.26356718	2026	screen	system	benchmark	general	no
doi:10.1016/j.cmicom.2026.105214	2026	extract	evaluation	human-agree	med	yes
doi:10.1016/j.jbi.2026.105086	2026	extract	evaluation	benchmark	med	yes
doi:10.1016/j.otsr.2026.104793	2026	meta	evaluation	benchmark	med	yes
doi:10.1016/j.yrtph.2026.106182	2026	end2end	system	benchmark	general	no
doi:10.2196/76130	2026	meta	guideline	none	med	no
doi:10.2196/90588	2026	meta	evaluation	none	med	yes
doi:10.1177/02683962261425675	2026	meta	position	none	general	no
doi:10.2196/preprints.93396	2026	extract	method	benchmark	med	no
doi:10.1159/000552717	2026	synthesize	system	none	med	no
doi:10.1177/20552076261467480	2026	extract	evaluation	human-agree	med	yes
doi:10.1017/rsm.2026.10093	2026	screen	evaluation	human-agree	med	yes
doi:10.64898/2026.03.03.26346690	2026	screen	method	benchmark	med	yes
doi:10.64898/2026.06.26.26356653	2026	end2end	system	benchmark	med	yes
doi:10.12688/f1000research.186817.1	2026	synthesize	system	none	med	no
doi:10.1038/s44387-026-00080-8	2026	screen	system	benchmark	general	no
doi:10.64898/2026.04.28.26352009	2026	screen	system	benchmark	general	no
doi:10.21203/rs.3.rs-9308492/v1	2026	end2end	system	human-agree	med	yes
doi:10.21203/rs.3.rs-9260490/v1	2026	extract	evaluation	benchmark	med	yes
doi:10.1093/ofid/ofag401	2026	extract	evaluation	human-agree	med	yes
doi:10.64898/2026.06.02.26354724	2026	screen	evaluation	human-agree	med	yes
doi:10.2188/jea.je20260233	2026	screen	evaluation	human-agree	med	yes
doi:10.1093/jamia/ocag014	2026	screen	method	benchmark	med	no
doi:10.1177/10225536261459518	2026	appraise	evaluation	human-agree	med	yes
doi:10.1109/das69882.2026.11553334	2026	end2end	system	none	general	no
doi:10.3390/reports9010090	2026	screen	method	benchmark	med	no
doi:10.1186/s13643-026-03101-4	2026	screen	evaluation	none	med	yes
doi:10.1002/gin2.70079	2026	meta	guideline	none	med	no
doi:10.1016/j.mex.2026.104041	2026	meta	method	none	general	no
doi:10.3389/fcimb.2026.1876326	2026	extract	evaluation	human-agree	med	yes
doi:10.1186/s12874-026-02847-8	2026	extract	system	benchmark	med	no
doi:10.21203/rs.3.rs-10358339/v1	2026	search	position	none	general	no
doi:10.1017/rsm.2026.10094	2026	screen	method	human-agree	general	yes
doi:10.1016/j.tele.2026.102447	2026	meta	evaluation	benchmark	general	no
doi:10.66434/ijssr.v1i1.538	2026	meta	position	none	general	no
doi:10.1177/25152459261442150	2026	screen	guideline	benchmark	general	no
doi:10.1093/jamiaopen/ooag043	2026	appraise	evaluation	human-agree	med	yes
doi:10.1016/j.imr.2026.101351	2026	end2end	system	none	med	no
doi:10.1097/cm9.0000000000003923	2026	meta	position	none	med	no
doi:10.1016/j.ijmedinf.2026.106463	2026	search	method	benchmark	med	no
doi:10.1016/j.hlc.2026.05.032	2026	extract	evaluation	human-agree	med	yes
doi:10.59707/hymrolst8553	2026	meta	evaluation	none	med	no
doi:10.2139/ssrn.6263105	2026	screen	method	none	general	no
doi:10.3390/jcm15082830	2026	screen	evaluation	human-agree	med	yes
doi:10.1002/ksa.70462	2026	screen	evaluation	human-agree	med	yes
doi:10.1016/j.geoderma.2026.117890	2026	extract	method	benchmark	general	no
doi:10.1007/s11423-026-10629-8	2026	meta	guideline	none	general	no
doi:10.2196/preprints.104335	2026	screen	evaluation	human-agree	med	yes
