key	status	code	year	title	stage	contribution	evidence	setting	priority
doi:10.1101/2024.02.20.24303083	included		2024	How good are large language models for automated data extraction from…	extract	evaluation	human-agree	med	medium
doi:10.1101/2024.03.18.24304457	included		2024	A Large Language Model Approach to Extracting Causal Evidence across…	extract	method	benchmark	med	medium
doi:10.1101/2024.03.20.24304572	included		2024	Large Language Model in Medical Information Extraction from Titles an…	extract	evaluation	benchmark	med	medium
doi:10.1101/2024.05.01.24306691	included		2024	Evaluating a Large Language Model’s Ability to Answer Clinicians’ Req…	report	evaluation	human-agree	med	medium
doi:10.1101/2024.05.22.24307740	included		2024	Accuracy and reliability of data extraction for systematic reviews us…	extract	evaluation	benchmark	med	medium
doi:10.1101/2024.06.01.24308323	included		2024	Prompting is all you need: LLMs for systematic review screening	screen	method	human-agree	general	medium
doi:10.1101/2024.06.03.24308405	included		2024	Evaluating the Efficacy of Large Language Models for Systematic Revie…	screen	evaluation	human-agree	med	medium
doi:10.1101/2024.06.26.24309513	included		2024	Comparison of large language models for citation screening: A protoco…	screen	evaluation	none	med	medium
doi:10.1101/2024.07.08.24310046	included		2024	Exploring potential of AI usage in the knowledge and evidence service…	meta	evaluation	none	med	medium
doi:10.1101/2024.09.18.24313828	included		2024	Leveraging large language models for systematic reviewing: A case stu…	screen	evaluation	human-agree	med	medium
doi:10.1101/2024.10.01.24314702	included		2024	Large language models for abstract screening in systematic- and scopi…	screen	evaluation	human-agree	general	medium
doi:10.1101/2024.11.15.24317267	included		2024	Agentic AI for Streamlining Title and Abstract Screening: Addressing…	screen	evaluation	human-agree	general	medium
doi:10.1101/2024.12.06.24318592	included		2024	Reasoning Models for Text Mining in Oncology – a Comparison Between o…	extract	evaluation	benchmark	med	medium
doi:10.1101/2025.03.20.25324350	included		2025	AI-Assisted Data Extraction with a Large Language Model: A Study With…	extract	evaluation	human-agree	med	medium
doi:10.1101/2025.04.08.25325463	included		2025	M-PreSS: A Model Pre-training Approach for Study Screening in Systema…	screen	method	benchmark	general	medium
doi:10.1101/2025.06.13.25329541	included		2025	Automation of Systematic Reviews with Large Language Models	end2end	system	human-agree	med	medium
doi:10.1101/2025.08.11.25333429	included		2025	A LLM-based Multi-Agent Collaborative Approach for Screening Prioriti…	screen	method	human-agree	general	medium
doi:10.1101/2025.08.24.25334314	included		2025	LLM-Guided Weak Supervision Improves Active Learning for Abstract Scr…	screen	method	benchmark	general	medium
doi:10.1101/2025.09.02.25334159	included		2025	Scaling the Prompt: How Batch Size Shapes Performance of Mid-2025 Sta…	screen	evaluation	human-agree	med	medium
doi:10.1101/2025.11.03.25339455	deep-read		2025	Dual-Model LLM Ensemble via Web Chat Interfaces Reaches Near-Perfect…	screen	evaluation	human-agree	med	critical
doi:10.1109/access.2025.3554504	included		2025	Comparing Generative AI Literature Reviews Versus Human-Led Systemati…	end2end	evaluation	human-agree	general	medium
doi:10.1109/bigdata62323.2024.10825310	included		2024	Empowering Meta-Analysis: Leveraging Large Language Models for Scient…	synthesize	method	benchmark	general	medium
doi:10.1109/cbi68102.2025.00012	included		2025	Can AI be a Scholar? A Systematic Review on the Role of Generative AI…	meta	evaluation	none	general	medium
doi:10.1109/ccwc60891.2024.10427829	included		2024	Large Language Model-Based Architecture for Automatic Outcome Data Ex…	extract	system	benchmark	med	medium
doi:10.1109/cinti67731.2025.11311831	included		2025	Large Language Models for Title/Abstract Screening in Systematic Lite…	screen	evaluation	human-agree	general	medium
doi:10.1109/csgb53040.2021.9496030	included		2021	Method for Biomedical Information Extraction of Immunosuppressive Cel…	extract	method	benchmark	med	medium
doi:10.1109/das69882.2026.11553334	included		2026	Scholar Augment: An End-to-End Multi-LLM Platform for Accelerating Sy…	end2end	system	none	general	medium
doi:10.1109/esem64174.2025.00053	deep-read		2025	SESR-Eval: Dataset for Evaluating LLMs in the Title-Abstract Screenin…	screen	evaluation	benchmark	se	critical
doi:10.1109/fllm63129.2024.10852425	included		2024	Screening Automation for Systematic Reviews: A 5-Tier Prompting Appro…	screen	method	benchmark	med	medium
doi:10.1109/fllm63129.2024.10852447	included		2024	Large Language Models for Literature Reviews - An Exemplary Compariso…	meta	evaluation	human-agree	med	medium
doi:10.1109/fllm67465.2025.11391146	included		2025	Cal-X: Enhancing Systematic Review Screening with LLMs and Next-Token…	screen	method	human-agree	general	medium
doi:10.1109/icapai55158.2022.9801564	included		2022	The application of artificial intelligence on different types of lite…	meta	evaluation	none	general	medium
doi:10.1109/icarc64760.2025.10963273	included		2025	Enhancing Systematic Literature Reviews: Evaluating the Performance o…	meta	evaluation	benchmark	general	medium
doi:10.1109/iciset62123.2024.10939517	included		2024	Automated Literature Review Using NLP Techniques and LLM-Based Retrie…	report	system	benchmark	general	medium
doi:10.1109/icmet67594.2025.11452106	included		2025	L-PRISMA: An Extension of PRISMA in the Era of Generative Artificial…	report	guideline	none	general	medium
doi:10.1109/ieses66335.2025.11359889	included		2025	Enhancing Fine-Tuning of LLMs for Domain-Specific Literature Review	synthesize	method	none	general	medium
doi:10.1109/iscsic54682.2021.00034	included		2021	Accelerating the Early Identification of Relevant Studies in Title an…	screen	method	benchmark	general	medium
doi:10.1109/jbhi.2020.2984704	included		2020	Aceso: PICO-Guided Evidence Summarization on Medical Literature	extract	system	benchmark	med	medium
doi:10.1109/jbhi.2024.3483816	included		2024	Benchmarking Large Language Models in Evidence-Based Medicine	meta	evaluation	benchmark	med	medium
doi:10.1109/jcdl67857.2025.00042	included		2025	Efficient Citation Screening by Weak Classifier Ensemble*	screen	method	benchmark	general	medium
doi:10.1109/sami68106.2026.11420686	included		2026	Assessing Probability Rating Performance for Large Language Models in…	screen	evaluation	human-agree	general	medium
doi:10.1109/saner-c67878.2026.00047	deep-read		2026	Empirical Evaluation of Open Source Large Language Models for Paper S…	screen	evaluation	human-agree	se	high
doi:10.1109/seaa53835.2021.00015	deep-read		2021	Automated Support for Searching and Selecting Evidence in Software En…	search	evaluation	none	se	high
doi:10.1109/weef-gedc59520.2023.10344098	included		2023	Leveraging the Potential of Generative AI to Accelerate Systematic Li…	screen	evaluation	human-agree	general	medium
doi:10.1109/wsese66602.2025.00010	included		2025	On the Difficulties of Conducting and Replicating Systematic Literatu…	meta	position	none	se	medium
doi:10.1111/2041-210x.14341	included		2024	Large language models help facilitate the automated synthesis of info…	synthesize	method	benchmark	general	medium
doi:10.1111/ceo.14268	included		2023	<scp>ChatGPT</scp> as a tool for conducting literature review for dry…	end2end	evaluation	none	med	medium
doi:10.1111/cobi.14464	included		2025	New opportunities and challenges for conservation evidence synthesis…	meta	position	none	general	medium
doi:10.1111/itor.70054	included		2025	Pitfalls, benefits, and comparative analysis of artificial intelligen…	meta	evaluation	benchmark	general	medium
doi:10.1111/jebm.70166	included		2026	Performance of Large Language Models in Automated Medical Literature…	screen	evaluation	human-agree	med	medium
doi:10.1111/jocn.17818	included		2025	Developing and Evaluating the Use of <scp>ChatGPT</scp> as a Screenin…	screen	evaluation	human-agree	med	medium
doi:10.1115/1.4064245	included		2023	ADVISE: Accelerating the Creation of Evidence Syntheses for Global De…	search	system	none	general	medium
doi:10.1115/detc2023-116962	included		2023	AI-Accelerated Design of Evidence Synthesis for Global Development	screen	system	none	general	medium
doi:10.1136/bjo-2024-326254	included		2025	Can large language models fully automate or partially assist paper se…	screen	evaluation	human-agree	med	medium
doi:10.1136/bmjdhai-2025-000017	included		2025	Large language model enhanced framework for systematic reviews and me…	meta	guideline	none	med	medium
doi:10.1136/bmjebm-2023-112530	included		2024	Rapid review methods series: Guidance on the use of supportive softwa…	meta	guideline	none	med	medium
doi:10.1136/bmjebm-2023-112597	included		2024	Integrating large language models in systematic reviews: a framework…	appraise	method	human-agree	med	medium
doi:10.1136/bmjebm-2023-112678	deep-read		2023	Enhancing title and abstract screening for systematic reviews with GP…	screen	evaluation	human-agree	med	high
doi:10.1136/bmjebm-2024-112990	deep-read		2024	Pilot study on large language models for risk-of-bias assessments in…	appraise	evaluation	human-agree	med	high
doi:10.1136/bmjebm-2024-113066	included		2025	Novel AI applications in systematic review: GPT-4 assisted data extra…	extract	evaluation	human-agree	med	medium
doi:10.1136/bmjebm-2024-113199	included		2024	From promise to practice: challenges and pitfalls in the evaluation o…	extract	position	none	med	medium
doi:10.1136/bmjebm-2024-113320	included		2025	Opportunities, challenges and risks of using artificial intelligence…	meta	position	none	med	medium
doi:10.1136/bmjebm-2025-114044	included		2026	Evaluating data extraction error by a large language model from rando…	extract	evaluation	human-agree	med	medium
doi:10.1136/bmjhci-2023-100830	included		2023	Comparative study of ChatGPT and human evaluators on the assessment o…	appraise	evaluation	human-agree	med	medium
doi:10.1136/bmjment-2025-301762	included		2025	Development and evaluation of prompts for a large language model to s…	screen	evaluation	human-agree	med	medium
doi:10.1136/bmjopen-2023-072254	included		2023	Artificial intelligence in systematic reviews: promising when appropr…	screen	guideline	none	med	medium
doi:10.1136/bmjopen-2023-076912	included		2024	Inter-reviewer reliability of human literature reviewing and implicat…	meta	evaluation	human-agree	med	medium
doi:10.1136/bmjopen-2025-099921	included		2025	The introduction and adoption of artificial intelligence in systemati…	screen	evaluation	none	general	medium
doi:10.1136/bmjopen-2025-106546	included		2025	Comparing the accuracy of AI-assisted data extraction versus human do…	extract	evaluation	human-agree	med	medium
doi:10.1136/rapm-2023-104646	included		2023	Addition of dexamethasone to prolong peripheral nerve blocks: a ChatG…	report	evaluation	human-agree	med	medium
doi:10.1136/rapm-2024-106231	included		2025	Evaluating the utility of large language models in generating search…	search	evaluation	benchmark	med	medium
doi:10.1136/rapm-2024-106358	included		2025	Human versus artificial intelligence: evaluating ChatGPT’s performanc…	end2end	evaluation	human-agree	med	medium
doi:10.1145/3366423.3380185	included		2020	Automatic Boolean Query Formulation for Systematic Review Literature…	search	method	benchmark	general	medium
doi:10.1145/3528588.3528658	included		2022	Supporting systematic literature reviews using deep-learning-based la…	screen	method	benchmark	se	medium
doi:10.1145/3539618.3591703	included		2023	Can ChatGPT Write a Good Boolean Query for Systematic Review Literatu…	search	evaluation	benchmark	general	medium
doi:10.1145/3539618.3591768	included		2023	Smooth Operators for Effective Systematic Review Queries	search	method	benchmark	med	medium
doi:10.1145/3578337.3605135	included		2023	Outcome-based Evaluation of Systematic Review Automation	screen	method	none	general	medium
doi:10.1145/3624918.3625322	included		2023	Generating Natural Language Queries for More Effective Systematic Rev…	screen	method	benchmark	med	medium
doi:10.1145/3661167.3661172	included		2024	The Promise and Challenges of Using LLMs to Accelerate the Screening…	screen	evaluation	human-agree	se	medium
doi:10.1145/3674805.3686666	included		2024	ChatGPT application in Systematic Literature Reviews in Software Engi…	screen	evaluation	human-agree	se	medium
doi:10.1145/3674805.3690743	deep-read		2024	Data extraction for systematic mapping study using a large language m…	extract	evaluation	benchmark	se	high
doi:10.1145/3715964	included		2025	Automating Research Synthesis with Domain-Specific Large Language Mod…	synthesize	method	benchmark	general	medium
doi:10.1145/3726302.3730133	included		2025	AiReview: An Open Platform for Accelerating Systematic Reviews with L…	screen	system	none	med	medium
doi:10.1145/3731120.3744586	included		2025	AIDME: A Scalable, Interpretable Framework for AI-Aided Scoping Revie…	screen	system	none	general	medium
doi:10.1145/3742414.3794723	included		2026	From Verification Burden to Trusted Collaboration: Design Goals for L…	search	evaluation	none	general	medium
doi:10.1145/3747912.3747962	included		2025	AI Tools for Automating Systematic Literature Reviews	meta	evaluation	benchmark	general	medium
doi:10.1145/3772363.3798755	included		2026	MetaMate: Understanding How Educational Researchers Experience AI-Ass…	extract	system	human-agree	general	medium
doi:10.1145/3776734.3794506	included		2026	Charting the Growth of Social-Physical HRI (spHRI): A Systematic Revi…	screen	evaluation	human-agree	general	medium
doi:10.1145/3777490.3777511	included		2026	Human-Centred Research Automation: Agentic AI Framework for Literatur…	end2end	system	none	general	medium
doi:10.1155/2024/8815424	included		2024	Applying ChatGPT and AI‐Powered Tools to Accelerate Evidence Reviews	meta	evaluation	none	general	medium
doi:10.1159/000552717	included		2026	SmartEBM AI Agent: A Web-Based Platform for Streamlining Network Meta…	synthesize	system	none	med	medium
doi:10.1177/02683962211048201	included		2021	Artificial intelligence and the conduct of literature reviews	meta	position	none	general	medium
doi:10.1177/02683962251371062	included		2025	Natural language processing enhanced literature reviews	meta	position	none	general	medium
doi:10.1177/02683962261425675	included		2026	Generative artificial intelligence for literature reviews	meta	position	none	general	medium
doi:10.1177/03400352241263532	included		2024	Exploring the use of generative artificial intelligence in systematic…	search	evaluation	human-agree	general	medium
doi:10.1177/03400352251342513	included		2025	Exploring the potential of artificial intelligence usage in the knowl…	meta	evaluation	none	med	medium
doi:10.1177/08944393231196281	included		2023	Cheap, Quick, and Rigorous: Artificial Intelligence and the Systemati…	meta	guideline	none	general	medium
doi:10.1177/08944393251404052	included		2025	Evaluating the AI Tool “Elicit” as a Semi-Automated Second Reviewer f…	extract	evaluation	human-agree	med	medium
doi:10.1177/10225536261459518	included		2026	Automating methodological quality assessment in orthopedic systematic…	appraise	evaluation	human-agree	med	medium
doi:10.1177/15230864251405885	included		2025	Artificial Intelligence Tools in Biomedical Research: Part 1—Literatu…	search	position	none	med	medium
doi:10.1177/20552076261467480	included		2026	Custom GPT models for complex rheumatology systematic reviews: A two-…	extract	evaluation	human-agree	med	medium
doi:10.1177/25152459261442150	included		2026	Fast-Track Your Abstract Screening: Mastering ASReview for Accelerati…	screen	guideline	benchmark	general	medium
doi:10.1186/s12859-021-04396-x	included		2021	Using neural networks to support high-quality evidence mapping	screen	method	none	med	medium
doi:10.1186/s12874-020-01031-w	included		2020	The semi-automation of title and abstract screening: a retrospective…	screen	evaluation	human-agree	med	medium
doi:10.1186/s12874-020-01129-1	included		2020	An evaluation of DistillerSR’s machine learning-based prioritization…	screen	evaluation	human-agree	med	medium
doi:10.1186/s12874-021-01354-2	included		2021	Creating efficiencies in the extraction of data from randomized trial…	extract	evaluation	human-agree	med	medium
doi:10.1186/s12874-021-01451-2	deep-read		2021	Guidance for using artificial intelligence for title and abstract scr…	screen	guideline	none	med	high
doi:10.1186/s12874-022-01631-8	included		2022	Abstract screening using the automated tool Rayyan: results of effect…	screen	evaluation	human-agree	med	medium
doi:10.1186/s12874-022-01649-y	included		2022	Automating risk of bias assessment in systematic reviews: a real-time…	appraise	evaluation	human-agree	med	medium
doi:10.1186/s12874-022-01805-4	included		2022	Machine learning computational tools to assist the performance of sys…	meta	evaluation	none	med	medium
doi:10.1186/s12874-023-02038-9	included		2023	Semi-automated assessment of the risk of bias due to missing evidence…	appraise	system	none	med	medium
doi:10.1186/s12874-024-02203-8	included		2024	Methodological insights into ChatGPT’s screening performance in syste…	screen	evaluation	human-agree	med	medium
doi:10.1186/s12874-025-02528-y	included		2025	Using artificial intelligence for systematic review: the example of e…	search	evaluation	human-agree	general	medium
doi:10.1186/s12874-025-02532-2	included		2025	Evaluating the performance of artificial intelligence in summarizing…	synthesize	evaluation	human-agree	general	medium
doi:10.1186/s12874-025-02583-5	included		2025	Streamlining systematic reviews with large language models using prom…	screen	evaluation	benchmark	med	medium
doi:10.1186/s12874-025-02644-9	included		2025	Artificial intelligence for the science of evidence synthesis: how go…	screen	evaluation	human-agree	general	medium
doi:10.1186/s12874-025-02729-5	included		2026	Assessing data extraction in randomized clinical trials with large la…	extract	evaluation	human-agree	med	medium
doi:10.1186/s12874-026-02847-8	included		2026	From chaos to clarity: schema-constrained AI for auditable biomedical…	extract	system	benchmark	med	medium
doi:10.1186/s12874-026-02892-3	included		2026	Evaluating Elicit’s systematic reviews workflow in an umbrella review…	end2end	evaluation	human-agree	med	medium
doi:10.1186/s12911-022-01897-4	included		2022	Automatic data extraction to support meta-analysis statistical analys…	extract	system	none	med	medium
doi:10.1186/s12911-022-02085-0	included		2022	LiSA: an assisted literature search pipeline for detecting serious ad…	search	system	none	med	medium
doi:10.1186/s12911-023-02328-8	included		2023	Automatic literature screening using the PAJO deep-learning model for…	screen	method	benchmark	med	medium
doi:10.1186/s12911-025-03138-w	included		2025	A comparative study of screening performance between abstrackr and GP…	screen	evaluation	benchmark	general	medium
doi:10.1186/s12916-026-04709-y	included		2026	The Trial Bank initiative to promote trustworthy living evidence for…	end2end	system	none	med	medium
doi:10.1186/s12967-023-04371-5	included		2024	Development of search strategies for systematic reviews in health usi…	search	evaluation	none	med	medium
doi:10.1186/s13018-025-06386-8	included		2025	Applying machine learning to enhance core outcome set development: au…	extract	evaluation	human-agree	med	medium
doi:10.1186/s13326-022-00271-7	included		2022	An annotated corpus of clinical trial publications supporting schema-…	extract	method	benchmark	med	medium
doi:10.1186/s13326-024-00305-2	included		2024	Comparing generative and extractive approaches to information extract…	extract	evaluation	benchmark	med	medium
doi:10.1186/s13643-020-01324-7	included		2020	Machine learning for screening prioritization in systematic reviews:…	screen	evaluation	human-agree	med	medium
doi:10.1186/s13643-020-01351-4	included		2020	A focus on cross-purpose tools, automated recognition of study design…	meta	position	none	general	medium
doi:10.1186/s13643-020-01450-2	included		2020	Comparison of a traditional systematic review approach with review-of…	screen	evaluation	human-agree	med	medium
doi:10.1186/s13643-020-01521-4	included		2020	Statistical stopping criteria for automated screening in systematic r…	screen	method	human-agree	med	medium
doi:10.1186/s13643-020-01569-2	included		2021	The views of health guideline developers on the use of automation in…	meta	guideline	none	med	medium
doi:10.1186/s13643-021-01635-3	included		2021	Research Screener: a machine learning tool to semi-automate abstract…	screen	system	human-agree	general	medium
doi:10.1186/s13643-021-01700-x	included		2021	Text mining to support abstract screening for knowledge syntheses: a…	screen	method	human-agree	general	medium
doi:10.1186/s13643-021-01763-w	included		2021	srBERT: automatic article classification model for systematic review…	screen	method	benchmark	med	medium
doi:10.1186/s13643-021-01881-5	included		2022	Automation of literature screening using machine learning in medical…	screen	method	none	med	medium
doi:10.1186/s13643-022-02045-9	included		2022	Reducing systematic review burden using Deduklick: a novel, automated…	search	system	human-agree	med	medium
doi:10.1186/s13643-022-02074-4	included		2022	PICO entity extraction for preclinical animal literature	extract	method	benchmark	med	medium
doi:10.1186/s13643-022-02163-4	included		2023	Unsupervised title and abstract screening for systematic review: a re…	screen	method	benchmark	general	medium
doi:10.1186/s13643-023-02243-z	included		2023	Are ChatGPT and large language models “the answer” to bringing us clo…	meta	position	none	general	medium
doi:10.1186/s13643-023-02257-7	included		2023	Performance of active learning models for screening prioritization in…	screen	evaluation	benchmark	med	medium
doi:10.1186/s13643-023-02351-w	included		2023	Evaluation of a prototype machine learning tool to semi-automate data…	extract	evaluation	human-agree	med	medium
doi:10.1186/s13643-023-02353-8	included		2023	Semi-automating abstract screening with a natural language model pret…	screen	evaluation	human-agree	med	medium
doi:10.1186/s13643-024-02575-4	included		2024	Title and abstract screening for literature reviews using large langu…	screen	evaluation	human-agree	med	medium
doi:10.1186/s13643-024-02590-5	included		2024	Machine learning to optimize literature screening in medical guidelin…	screen	evaluation	human-agree	med	medium
doi:10.1186/s13643-024-02592-3	included		2024	Automation of systematic reviews of biomedical literature: a scoping…	meta	evaluation	none	med	medium
doi:10.1186/s13643-024-02609-x	included		2024	Evaluating the effectiveness of large language models in abstract scr…	screen	evaluation	benchmark	general	medium
doi:10.1186/s13643-024-02666-2	deep-read		2024	Large language models, updates, and evaluation of automation tools fo…	meta	guideline	none	general	high
doi:10.1186/s13643-024-02682-2	included		2024	Leveraging artificial intelligence to enhance systematic reviews in h…	meta	position	none	med	medium
doi:10.1186/s13643-024-02688-w	included		2024	Semi-automated title-abstract screening using natural language proces…	screen	method	benchmark	general	medium
doi:10.1186/s13643-025-02842-y	included		2026	The landscape of artificial intelligence tools and platforms for evid…	meta	position	none	general	medium
doi:10.1186/s13643-025-02895-z	included		2025	ReviewGenie: a novel automated system for systematic reviews—an explo…	end2end	system	none	med	medium
doi:10.1186/s13643-025-02997-8	included		2025	Accelerating the pace and accuracy of systematic reviews using AI: a…	screen	evaluation	human-agree	general	medium
doi:10.1186/s13643-026-03101-4	included		2026	Study protocol for evaluating automation of systematic review process…	screen	evaluation	none	med	medium
doi:10.1186/s13643-026-03199-6	included		2026	Comparing supervised machine learning and large language models in ti…	screen	evaluation	human-agree	general	medium
doi:10.1186/s13643-026-03228-4	included		2026	Using full agreement across multiple large language models for title-…	screen	method	human-agree	general	medium
doi:10.1186/s13750-025-00360-x	included		2025	Testing the utility of GPT for title and abstract screening in enviro…	screen	evaluation	human-agree	general	medium
doi:10.1186/s13750-025-00362-9	included		2025	Evaluating generative AI for qualitative data extraction in community…	extract	evaluation	human-agree	general	medium
doi:10.1186/s13750-025-00370-9	included		2025	Spanish-language text classification for environmental evidence synth…	screen	evaluation	benchmark	general	medium
doi:10.1186/s13750-026-00381-0	included		2026	Assessing the effectiveness of ontology-grounded AI term extraction u…	extract	evaluation	human-agree	general	medium
doi:10.1186/s40634-023-00662-4	included		2023	Accelerated evidence synthesis in orthopaedics—the roles of natural l…	meta	position	none	med	medium
doi:10.1200/cci-25-00233	included		2025	Rapid Clinical Evidence Explorer: A Generative Pre-Trained Transforme…	end2end	system	benchmark	med	medium
doi:10.1200/cci.20.00087	included		2021	Artificial Intelligence Clinical Evidence Engine for Automatic Identi…	end2end	system	human-agree	med	medium
doi:10.1200/jco.2025.43.16_suppl.e13657	included		2025	A living systematic literature review (L-SLR) for non–small-cell lung…	extract	system	human-agree	med	medium
doi:10.1227/neu.0000000000003450	included		2025	Using Natural Language Processing to Automate Screening of Abstracts…	screen	evaluation	human-agree	med	medium
doi:10.12688/f1000research.151493.2	deep-read		2024	(Semi)automated approaches to data extraction for systematic reviews…	extract	guideline	none	general	high
doi:10.12688/f1000research.186817.1	included		2026	Building a Living, Ontology-Informed and Large Language Model-Assiste…	synthesize	system	none	med	medium
doi:10.12688/f1000research.22781.2	included		2020	Data extraction methods for systematic review (semi)automation: A liv…	extract	position	none	med	medium
doi:10.12688/f1000research.51117.3	included		2025	Data extraction methods for systematic review (semi)automation: Updat…	meta	position	none	general	medium
doi:10.12923/pielxxiw-2025-0002	included		2025	Evidence-based advanced prompt engineeringin nursing research: qualit…	search	method	benchmark	med	medium
doi:10.1371/journal.pone.0313401	included		2025	ChatGPT-4o can serve as the second rater for data extraction in syste…	extract	evaluation	human-agree	med	medium
doi:10.1371/journal.pone.0323563	included		2025	Careful design of Large Language Model pipelines enables expert-level…	search	system	none	general	medium
doi:10.1371/journal.pone.0342895	included		2026	MetaMind: A multi-agent transformer-driven framework for automated ne…	end2end	system	human-agree	med	medium
doi:10.14264/01498af	included		2026	AI-driven approaches for effective systematic review literature scree…	screen	evaluation	none	general	medium
doi:10.14569/ijacsa.2024.01501122	included		2024	Transformative Automation: AI in Scientific Literature Reviews	end2end	method	none	general	medium
doi:10.1609/aaai.v38i21.30577	included		2024	GEAR-Up: Generative AI and External Knowledge-Based Retrieval: Upgrad…	search	system	none	general	medium
doi:10.17605/osf.io/g2d4n	included		2026	TITAN SR vs ChatGPT 4.1 for Abstract Screening.	screen	evaluation	human-agree	med	medium
doi:10.18653/v1/2021.findings-emnlp.147	included		2021	Sent2Span: Span Detection for PICO Extraction in the Biomedical Text…	extract	method	benchmark	med	medium
doi:10.18653/v1/2022.bionlp-1.18	included		2022	Intra-Template Entity Compatibility based Slot-Filling for Clinical T…	extract	method	benchmark	med	medium
doi:10.18653/v1/2022.bionlp-1.34	included		2022	DISTANT-CTO: A Zero Cost, Distantly Supervised Approach to Improve Lo…	extract	method	benchmark	med	medium
doi:10.18653/v1/2023.acl-short.119	included		2023	Summarizing, Simplifying, and Synthesizing Medical Evidence using GPT…	synthesize	evaluation	human-agree	med	medium
doi:10.18653/v1/2023.bionlp-1.37	included		2023	Zero-Shot Information Extraction for Clinical Meta-Analysis using Lar…	extract	evaluation	human-agree	med	medium
doi:10.18653/v1/2023.eacl-demo.27	included		2023	Automatically Summarizing Evidence from Clinical Trials: A Prototype…	synthesize	system	none	med	medium
doi:10.18653/v1/2023.emnlp-main.626	included		2023	Appraising the Potential Uses and Harms of LLMs for Medical Systemati…	meta	evaluation	none	med	medium
doi:10.18653/v1/2024.climatenlp-1.20	included		2024	Assessing the Effectiveness of GPT-4o in Climate Change Evidence Synt…	synthesize	evaluation	human-agree	general	medium
doi:10.20944/preprints202407.2198.v1	included		2024	Topic Modeling for Faster Literature Screening Using Transformer-Base…	screen	method	benchmark	med	medium
doi:10.20944/preprints202501.2029.v1	included		2025	A Zero-Shot Comparison of Large Language Models for Efficient Screeni…	screen	evaluation	human-agree	med	medium
doi:10.21037/jmai-24-408	included		2025	Evaluating large language models for title/abstract screening: a syst…	screen	evaluation	human-agree	general	medium
doi:10.2106/jbjs.25.01373	included		2026	Conducting Systematic Reviews in a Day: Enter Artificial Intelligence	end2end	position	none	med	medium
doi:10.21203/rs.3.rs-10200494/v1	included		2026	Automated Meta-Analysis of Transcranial Magnetic Stimulation Based on…	synthesize	method	none	med	medium
doi:10.21203/rs.3.rs-10358339/v1	included		2026	The Use of Artificial Intelligence in Article Searching and Scientifi…	search	position	none	general	medium
doi:10.21203/rs.3.rs-4007725/v1	included		2024	Generative Artificial Intelligence, Python, and Gathering Grey Litera…	search	method	none	general	medium
doi:10.21203/rs.3.rs-4022248/v1	included		2024	Comparative Analysis of Automatic Literature Review Using Mistral Lar…	report	evaluation	human-agree	general	medium
doi:10.21203/rs.3.rs-4922498/v1	included		2024	Evaluating Generative AI to Extract Qualitative Data from Peer-Review…	extract	evaluation	none	general	medium
doi:10.21203/rs.3.rs-5063165/v1	included		2024	LLMscreen: A Python Package for Systematic Review Screening of Scient…	screen	system	none	general	medium
doi:10.21203/rs.3.rs-7265470/v1	included		2025	SPECTRUM SRA: An R Shiny Application to Automate Systematic Reviews U…	end2end	system	none	general	medium
doi:10.21203/rs.3.rs-8729984/v1	included		2026	Will generative AI help solve systematic literature reviews? Evidence…	meta	evaluation	none	general	medium
doi:10.21203/rs.3.rs-9260490/v1	included		2026	End-to-End Reliability of Automated Systems for Diagnostic Evidence E…	extract	evaluation	benchmark	med	medium
doi:10.21203/rs.3.rs-9308492/v1	included		2026	A Living Systematic Review Engine: LLM-Automated Evidence Surveillanc…	end2end	system	human-agree	med	medium
doi:10.21203/rs.3.rs-9582053/v1	included		2026	LLM-assisted screening and extraction for systematic reviews: workloa…	extract	evaluation	none	general	medium
doi:10.21203/rs.3.rs-9590065/v1	included		2026	Audax: A Principled Method for AI-Assisted Evidence Synthesis	synthesize	method	none	general	medium
doi:10.21203/rs.3.rs-9789751/v1	included		2026	Tools to semi-automate title and abstract screening in the evidence s…	screen	evaluation	none	general	medium
doi:10.2139/ssrn.4520426	included		2023	Large Language Model Demonstrates Human-Comparable Sensitivity in Ini…	screen	evaluation	human-agree	med	medium
doi:10.2139/ssrn.4797024	included		2024	A Critical Assessment of Large Language Models for Systematic Reviews…	extract	evaluation	benchmark	med	medium
doi:10.2139/ssrn.4943759	included		2024	Accuracy of Large Language Models for Literature Screening in Systema…	screen	evaluation	human-agree	med	medium
doi:10.2139/ssrn.5760724	included		2025	Towards AI-supported SLR Automation: Citation Screening with Transfor…	screen	method	benchmark	general	medium
doi:10.2139/ssrn.6263105	included		2026	Automatic selection of primary studies in systematic reviews with evo…	screen	method	none	general	medium
doi:10.2139/ssrn.7048543	deep-read		2026	HAICO-SLR Guide: Conducting and Reporting Human-AI Collaboration in S…	meta	guideline	none	general	critical
doi:10.2188/jea.je20230227	included		2023	Efficiency and Workload Reduction of Semi-automated Citation Screenin…	screen	evaluation	human-agree	med	medium
doi:10.2188/jea.je20260233	included		2026	Qualitative Analysis of Discrepancy Patterns Between Large Language M…	screen	evaluation	human-agree	med	medium
doi:10.2196/20007	included		2020	Artificial Intelligence for Rapid Meta-Analysis: Case Study on Ocular…	synthesize	method	human-agree	med	medium
doi:10.2196/24418	included		2021	The Impact of Systematic Review Automation Tools on Methodological Qu…	end2end	evaluation	human-agree	med	medium
