key	year	title	stage	contribution	evidence	setting
doi:10.1017/rsm.2025.10034	2025	Using large language models to directly screen electronic databases a…	search	evaluation	human-agree	med
doi:10.1017/rsm.2025.10044	2025	Compact large language models for title and abstract screening in sys…	screen	evaluation	human-agree	general
doi:10.1017/rsm.2025.10054	2025	Beyond human gold standards: A multimodel framework for automated abs…	screen	method	human-agree	med
doi:10.1017/rsm.2025.10065	2026	Transforming evidence synthesis: A systematic review of the evolution…	meta	position	none	general
doi:10.1017/rsm.2025.10066	2026	What level of automation is “good enough”? A benchmark of large langu…	extract	evaluation	human-agree	med
doi:10.1017/rsm.2025.15	2025	Validation of large language models (Llama 3 and ChatGPT-4o mini) for…	screen	evaluation	human-agree	med
doi:10.1017/rsm.2025.16	2025	Generative artificial intelligence use in evidence synthesis: A syste…	meta	evaluation	human-agree	general
doi:10.1017/rsm.2026.10080	2026	Using <i>Elicit</i> AI research assistant for data extraction in syst…	extract	evaluation	human-agree	general
doi:10.1017/rsm.2026.10093	2026	Prompt engineering of large language models for paper screening in me…	screen	evaluation	human-agree	med
doi:10.1017/rsm.2026.10094	2026	Large language model-based paper classification framework with key-in…	screen	method	human-agree	general
doi:10.1021/acs.jchemed.5c00931	2025	Artificial Intelligence (AI)-Augmented “Living” Meta-Analyses toward…	synthesize	method	none	general
doi:10.1021/acsami.5c08837	2025	AI-Assisted Tools for Scientific Review Writing: Opportunities and Ca…	report	system	benchmark	general
doi:10.1021/acsenvironau.4c00042	2024	Evaluating GPT Models for Automated Literature Screening in Wastewate…	screen	evaluation	benchmark	med
doi:10.1021/acsomega.5c04542	2025	The Landscape of Wearable Sensors and Automated Literature Analysis w…	synthesize	method	none	general
doi:10.1027/2151-2604/a000509	2023	Reducing Literature Screening Workload With Machine Learning	screen	position	none	general
doi:10.1038/s41415-023-6132-y	2023	Application ChatGPT in conducting systematic reviews and meta-analyses	meta	position	none	med
doi:10.1038/s41432-026-01206-2	2026	From reviews to real-time: dynamic evidence in dentistry	synthesize	method	none	med
doi:10.1038/s41467-025-62058-5	2025	A foundation model for human-AI collaboration in medical literature m…	end2end	system	human-agree	med
doi:10.1038/s41467-025-62783-x	2025	Evidence triangulator: using large language models to extract and syn…	synthesize	system	benchmark	med
doi:10.1038/s41598-022-05939-9	2022	Automated meta-analysis of the event-related potential (ERP) literatu…	synthesize	method	none	general
doi:10.1038/s41598-025-99423-9	2025	Prompt engineering in ChatGPT for literature review: practical guide…	extract	guideline	benchmark	general
doi:10.1038/s41746-023-00896-7	2023	Evaluating large language models on medical evidence summarization	synthesize	evaluation	human-agree	med
doi:10.1038/s41746-024-01239-w	2024	Closing the gap between open source and commercial large language mod…	synthesize	evaluation	benchmark	med
doi:10.1038/s41746-025-01457-w	2025	Language models for data extraction and risk of bias assessment in co…	extract	evaluation	human-agree	med
doi:10.1038/s41746-025-01840-7	2025	Accelerating clinical evidence synthesis with large language models	end2end	system	human-agree	med
doi:10.1038/s41746-025-02273-y	2025	Streamlining evidence based clinical recommendations with large langu…	end2end	system	human-agree	med
doi:10.1038/s41746-026-02431-w	2026	Large language models in systematic review and meta-analysis of surgi…	end2end	evaluation	human-agree	med
doi:10.1038/s42256-020-00287-7	2021	An open source machine learning framework for efficient and transpare…	screen	system	human-agree	general
doi:10.1038/s44355-026-00068-w	2026	Closing the screening gap but not the writing gap: a two-topic evalua…	end2end	evaluation	human-agree	med
doi:10.1038/s44387-026-00080-8	2026	AIM review tool: artificial intelligence for smarter systematic revie…	screen	system	benchmark	general
doi:10.1042/cs20220494	2023	Systematic online living evidence summaries: emerging tools to accele…	end2end	system	none	med
doi:10.1055/a-2890-8325	2026	On the utility of ChatGPT in conducting a literature review on deep l…	end2end	evaluation	human-agree	med
doi:10.1073/pnas.2411962122	2025	Transforming literature screening: The emerging role of large languag…	screen	evaluation	human-agree	med
doi:10.1080/00015385.2023.2231299	2023	Does the long-term administration of proton pump inhibitors increase…	end2end	method	none	med
doi:10.1080/00015385.2023.2240120	2023	Prompting ChatGPT to perform an umbrella review	end2end	evaluation	none	med
doi:10.1080/00332747.2025.2541531	2025	AI Tools in Academia: Evaluating NotebookLM as a Tool for Conducting…	synthesize	evaluation	none	med
doi:10.1080/00472778.2021.1955125	2021	“Hasta la vista, baby” – will machine learning terminate human litera…	meta	position	none	general
doi:10.1080/10447318.2026.2646419	2026	LitPilot: A Human-Centered Platform for Transparent and Interactive S…	end2end	system	none	general
doi:10.1080/14737167.2023.2234639	2023	Can artificial intelligence separate the wheat from the chaff in syst…	screen	evaluation	human-agree	med
doi:10.1080/14737167.2026.2691995	2026	REFLECTIVE-TIAB: cost-effective prompt optimization for large languag…	screen	method	benchmark	med
doi:10.1080/14737167.2026.2695957	2026	Comparative landscape of artificial intelligence-assisted systematic…	meta	position	none	med
doi:10.1080/17437199.2020.1716198	2020	Semi-Automated evidence synthesis in health psychology: current metho…	meta	position	none	med
doi:10.1080/19345747.2023.2209079	2023	Choosing the Right Tool for the Job: Screening Tools for Systematic R…	screen	guideline	none	general
doi:10.1080/26408066.2025.2548853	2025	Artificial Intelligence in Systematic Literature Reviews: Social Work…	synthesize	evaluation	human-agree	general
doi:10.1080/2833373x.2025.2546791	2025	Large language models for data extraction in toxicology: implications…	extract	position	none	med
doi:10.1086/713525	2021	Technology for Research Synthesis: An Application of Sociotechnical S…	meta	position	none	general
doi:10.1093/asj/sjad093	2023	Truth or Lies? The Pitfalls and Limitations of ChatGPT in Systematic…	meta	position	none	med
doi:10.1093/bioinformatics/btad542	2023	Towards precise PICO extraction from abstracts of randomized controll…	extract	method	benchmark	med
doi:10.1093/ehjdh/ztag070	2026	Automated full-text screening and accelerated reviews using large lan…	screen	system	human-agree	med
doi:10.1093/ejo/cjae011	2024	Enhancing systematic reviews in orthodontics: a comparative examinati…	search	evaluation	benchmark	med
doi:10.1093/eurpub/ckaf072	2025	Evaluation of a large language model (ChatGPT) versus human researche…	appraise	evaluation	human-agree	med
doi:10.1093/jamia/ocac066	2022	Automated medical literature screening using artificial intelligence:…	screen	evaluation	human-agree	med
doi:10.1093/jamia/ocad036	2023	<i>EvidenceMap</i>: a three-level knowledge representation for medica…	extract	system	benchmark	med
doi:10.1093/jamia/ocae166	2024	A question-answering framework for automated abstract screening using…	screen	method	benchmark	med
doi:10.1093/jamia/ocae325	2025	Collaborative large language models for automated data extraction in…	extract	method	human-agree	med
doi:10.1093/jamia/ocaf030	2025	Enhancing systematic literature reviews with generative artificial in…	end2end	system	benchmark	med
doi:10.1093/jamia/ocaf050	2025	High-performance automated abstract screening with large language mod…	screen	evaluation	human-agree	med
doi:10.1093/jamia/ocaf063	2025	The emergence of large language models as tools in literature reviews…	meta	position	none	med
doi:10.1093/jamia/ocaf117	2025	Automated analyses of risk of bias and critical appraisal of systemat…	appraise	evaluation	human-agree	med
doi:10.1093/jamia/ocag014	2026	Interactive active learning for literature screening: finetuning GPT…	screen	method	benchmark	med
doi:10.1093/jamiaopen/ooac015	2022	Evaluation of publication type tagging as a strategy to screen random…	screen	evaluation	benchmark	med
doi:10.1093/jamiaopen/ooac107	2023	Not so weak PICO: leveraging weak supervision for participants, inter…	extract	method	benchmark	med
doi:10.1093/jamiaopen/ooae098	2024	<i>Literature search sandbox</i>: a large language model that generat…	search	system	benchmark	med
doi:10.1093/jamiaopen/ooag043	2026	Zero-shot interpretable biomedical literature appraisal with generati…	appraise	evaluation	human-agree	med
doi:10.1093/nsr/nwaf169	2025	Automated literature research and review-generation method based on l…	end2end	method	human-agree	general
doi:10.1093/ofid/ofag401	2026	Efficacy of a Large Language Model Data Extraction System in Evidence…	extract	evaluation	human-agree	med
doi:10.1093/pnasnexus/pgae461	2024	Artificial intelligence in food and nutrition evidence: The challenge…	meta	position	none	med
doi:10.1097/cm9.0000000000003923	2026	Artificial intelligence-facilitated evidence-based medicine research…	meta	position	none	med
doi:10.1097/fjc.0000000000001768	2025	Validation of Synthesa AI, a Large Language Model-Based Screening Too…	screen	evaluation	benchmark	med
doi:10.1097/gox.0000000000005339	2023	The Utility of Artificial Intelligence for Systematic Reviews and Boo…	search	method	none	general
doi:10.1097/js9.0000000000002215	2025	AI-driven evidence synthesis: data extraction of randomized controlle…	extract	method	human-agree	med
doi:10.1098/rspb.2024.0423	2024	The changing landscape of text mining: a review of approaches for eco…	meta	position	none	general
doi:10.1101/2023.04.22.23288967	2023	Evaluating Large Language Models on Medical Evidence Summarization	synthesize	evaluation	human-agree	med
doi:10.1101/2023.06.13.23291311	2023	Exploring the Role of Chat GPT in patient care (diagnosis and Treatme…	report	evaluation	none	med
doi:10.1101/2023.06.29.23291656	2023	Automated data extraction of unstructured grey literature in health r…	extract	position	none	general
doi:10.1101/2023.09.06.23295072	2023	Utilizing ChatGPT to select literature for meta-analysis shows worklo…	screen	evaluation	human-agree	med
doi:10.1101/2023.10.02.23296415	2023	Data Extraction for Evidence Synthesis Using a Large Language Model:…	extract	evaluation	human-agree	med
doi:10.1101/2023.12.14.23299933	2023	Trustworthiness of Systematic Review Automation An interview at Coven…	meta	position	none	general
doi:10.1101/2023.12.15.23300018	2023	Sensitivity, specificity and avoidable workload of using a large lang…	screen	evaluation	human-agree	med
doi:10.1101/2023.12.17.23300102	2023	A Novel Question-Answering Framework for Automated Abstract Screening…	screen	method	benchmark	med
doi:10.1101/2023.12.29.23300652	2023	Citation screening using large language models for creating clinical…	screen	evaluation	none	med
doi:10.1101/2024.01.18.24301502	2024	SEETrials: Leveraging Large Language Models for Safety and Efficacy E…	extract	system	benchmark	med
doi:10.1101/2024.02.20.24303083	2024	How good are large language models for automated data extraction from…	extract	evaluation	human-agree	med
doi:10.1101/2024.03.18.24304457	2024	A Large Language Model Approach to Extracting Causal Evidence across…	extract	method	benchmark	med
doi:10.1101/2024.03.20.24304572	2024	Large Language Model in Medical Information Extraction from Titles an…	extract	evaluation	benchmark	med
doi:10.1101/2024.05.01.24306691	2024	Evaluating a Large Language Model’s Ability to Answer Clinicians’ Req…	report	evaluation	human-agree	med
doi:10.1101/2024.05.22.24307740	2024	Accuracy and reliability of data extraction for systematic reviews us…	extract	evaluation	benchmark	med
doi:10.1101/2024.06.01.24308323	2024	Prompting is all you need: LLMs for systematic review screening	screen	method	human-agree	general
doi:10.1101/2024.06.03.24308405	2024	Evaluating the Efficacy of Large Language Models for Systematic Revie…	screen	evaluation	human-agree	med
doi:10.1101/2024.06.26.24309513	2024	Comparison of large language models for citation screening: A protoco…	screen	evaluation	none	med
doi:10.1101/2024.07.08.24310046	2024	Exploring potential of AI usage in the knowledge and evidence service…	meta	evaluation	none	med
doi:10.1101/2024.09.18.24313828	2024	Leveraging large language models for systematic reviewing: A case stu…	screen	evaluation	human-agree	med
doi:10.1101/2024.09.20.24314108	2024	Collaborative Large Language Models for Automated Data Extraction in…	extract	method	human-agree	med
doi:10.1101/2024.10.01.24314702	2024	Large language models for abstract screening in systematic- and scopi…	screen	evaluation	human-agree	general
doi:10.1101/2024.11.15.24317267	2024	Agentic AI for Streamlining Title and Abstract Screening: Addressing…	screen	evaluation	human-agree	general
doi:10.1101/2024.12.06.24318592	2024	Reasoning Models for Text Mining in Oncology – a Comparison Between o…	extract	evaluation	benchmark	med
doi:10.1101/2024.12.19.24319326	2024	Large language models for conducting systematic reviews: on the rise,…	meta	position	none	med
doi:10.1101/2025.03.20.25324350	2025	AI-Assisted Data Extraction with a Large Language Model: A Study With…	extract	evaluation	human-agree	med
doi:10.1101/2025.04.08.25325463	2025	M-PreSS: A Model Pre-training Approach for Study Screening in Systema…	screen	method	benchmark	general
doi:10.1101/2025.06.13.25329541	2025	Automation of Systematic Reviews with Large Language Models	end2end	system	human-agree	med
doi:10.1101/2025.07.21.25331917	2025	Assessing the feasibility and acceptability of a bespoke large langua…	extract	evaluation	human-agree	med
doi:10.1101/2025.08.04.25332893	2025	MetaMind: A Multi-Agent Transformer-Driven Framework for Automated Ne…	end2end	system	benchmark	med
doi:10.1101/2025.08.11.25333429	2025	A LLM-based Multi-Agent Collaborative Approach for Screening Prioriti…	screen	method	human-agree	general
doi:10.1101/2025.08.24.25334314	2025	LLM-Guided Weak Supervision Improves Active Learning for Abstract Scr…	screen	method	benchmark	general
doi:10.1101/2025.09.02.25334159	2025	Scaling the Prompt: How Batch Size Shapes Performance of Mid-2025 Sta…	screen	evaluation	human-agree	med
doi:10.1101/2025.11.03.25339455	2025	Dual-Model LLM Ensemble via Web Chat Interfaces Reaches Near-Perfect…	screen	evaluation	human-agree	med
doi:10.1109/access.2025.3554504	2025	Comparing Generative AI Literature Reviews Versus Human-Led Systemati…	end2end	evaluation	human-agree	general
doi:10.1109/bigdata62323.2024.10825310	2024	Empowering Meta-Analysis: Leveraging Large Language Models for Scient…	synthesize	method	benchmark	general
doi:10.1109/cbi68102.2025.00012	2025	Can AI be a Scholar? A Systematic Review on the Role of Generative AI…	meta	evaluation	none	general
doi:10.1109/ccwc60891.2024.10427829	2024	Large Language Model-Based Architecture for Automatic Outcome Data Ex…	extract	system	benchmark	med
doi:10.1109/cinti67731.2025.11311831	2025	Large Language Models for Title/Abstract Screening in Systematic Lite…	screen	evaluation	human-agree	general
doi:10.1109/csgb53040.2021.9496030	2021	Method for Biomedical Information Extraction of Immunosuppressive Cel…	extract	method	benchmark	med
doi:10.1109/das69882.2026.11553334	2026	Scholar Augment: An End-to-End Multi-LLM Platform for Accelerating Sy…	end2end	system	none	general
doi:10.1109/esem64174.2025.00053	2025	SESR-Eval: Dataset for Evaluating LLMs in the Title-Abstract Screenin…	screen	evaluation	benchmark	se
doi:10.1109/fllm63129.2024.10852425	2024	Screening Automation for Systematic Reviews: A 5-Tier Prompting Appro…	screen	method	benchmark	med
doi:10.1109/fllm63129.2024.10852447	2024	Large Language Models for Literature Reviews - An Exemplary Compariso…	meta	evaluation	human-agree	med
doi:10.1109/fllm67465.2025.11391146	2025	Cal-X: Enhancing Systematic Review Screening with LLMs and Next-Token…	screen	method	human-agree	general
doi:10.1109/icapai55158.2022.9801564	2022	The application of artificial intelligence on different types of lite…	meta	evaluation	none	general
doi:10.1109/icarc64760.2025.10963273	2025	Enhancing Systematic Literature Reviews: Evaluating the Performance o…	meta	evaluation	benchmark	general
doi:10.1109/iciset62123.2024.10939517	2024	Automated Literature Review Using NLP Techniques and LLM-Based Retrie…	report	system	benchmark	general
doi:10.1109/icmet67594.2025.11452106	2025	L-PRISMA: An Extension of PRISMA in the Era of Generative Artificial…	report	guideline	none	general
doi:10.1109/ieses66335.2025.11359889	2025	Enhancing Fine-Tuning of LLMs for Domain-Specific Literature Review	synthesize	method	none	general
doi:10.1109/iscsic54682.2021.00034	2021	Accelerating the Early Identification of Relevant Studies in Title an…	screen	method	benchmark	general
doi:10.1109/jbhi.2020.2984704	2020	Aceso: PICO-Guided Evidence Summarization on Medical Literature	extract	system	benchmark	med
doi:10.1109/jbhi.2024.3483816	2024	Benchmarking Large Language Models in Evidence-Based Medicine	meta	evaluation	benchmark	med
doi:10.1109/jcdl67857.2025.00042	2025	Efficient Citation Screening by Weak Classifier Ensemble*	screen	method	benchmark	general
doi:10.1109/sami68106.2026.11420686	2026	Assessing Probability Rating Performance for Large Language Models in…	screen	evaluation	human-agree	general
doi:10.1109/saner-c67878.2026.00047	2026	Empirical Evaluation of Open Source Large Language Models for Paper S…	screen	evaluation	human-agree	se
doi:10.1109/seaa53835.2021.00015	2021	Automated Support for Searching and Selecting Evidence in Software En…	search	evaluation	none	se
doi:10.1109/weef-gedc59520.2023.10344098	2023	Leveraging the Potential of Generative AI to Accelerate Systematic Li…	screen	evaluation	human-agree	general
doi:10.1109/wsese66602.2025.00010	2025	On the Difficulties of Conducting and Replicating Systematic Literatu…	meta	position	none	se
doi:10.1111/2041-210x.14341	2024	Large language models help facilitate the automated synthesis of info…	synthesize	method	benchmark	general
doi:10.1111/ceo.14268	2023	<scp>ChatGPT</scp> as a tool for conducting literature review for dry…	end2end	evaluation	none	med
doi:10.1111/cobi.14464	2025	New opportunities and challenges for conservation evidence synthesis…	meta	position	none	general
doi:10.1111/itor.70054	2025	Pitfalls, benefits, and comparative analysis of artificial intelligen…	meta	evaluation	benchmark	general
doi:10.1111/jebm.70166	2026	Performance of Large Language Models in Automated Medical Literature…	screen	evaluation	human-agree	med
doi:10.1111/jocn.17818	2025	Developing and Evaluating the Use of <scp>ChatGPT</scp> as a Screenin…	screen	evaluation	human-agree	med
doi:10.1115/1.4064245	2023	ADVISE: Accelerating the Creation of Evidence Syntheses for Global De…	search	system	none	general
doi:10.1115/detc2023-116962	2023	AI-Accelerated Design of Evidence Synthesis for Global Development	screen	system	none	general
doi:10.1136/bjo-2024-326254	2025	Can large language models fully automate or partially assist paper se…	screen	evaluation	human-agree	med
doi:10.1136/bmjdhai-2025-000017	2025	Large language model enhanced framework for systematic reviews and me…	meta	guideline	none	med
doi:10.1136/bmjebm-2023-112530	2024	Rapid review methods series: Guidance on the use of supportive softwa…	meta	guideline	none	med
doi:10.1136/bmjebm-2023-112597	2024	Integrating large language models in systematic reviews: a framework…	appraise	method	human-agree	med
doi:10.1136/bmjebm-2023-112678	2023	Enhancing title and abstract screening for systematic reviews with GP…	screen	evaluation	human-agree	med
doi:10.1136/bmjebm-2024-112990	2024	Pilot study on large language models for risk-of-bias assessments in…	appraise	evaluation	human-agree	med
doi:10.1136/bmjebm-2024-113066	2025	Novel AI applications in systematic review: GPT-4 assisted data extra…	extract	evaluation	human-agree	med
doi:10.1136/bmjebm-2024-113199	2024	From promise to practice: challenges and pitfalls in the evaluation o…	extract	position	none	med
doi:10.1136/bmjebm-2024-113320	2025	Opportunities, challenges and risks of using artificial intelligence…	meta	position	none	med
doi:10.1136/bmjebm-2025-114044	2026	Evaluating data extraction error by a large language model from rando…	extract	evaluation	human-agree	med
doi:10.1136/bmjhci-2023-100830	2023	Comparative study of ChatGPT and human evaluators on the assessment o…	appraise	evaluation	human-agree	med
doi:10.1136/bmjment-2025-301762	2025	Development and evaluation of prompts for a large language model to s…	screen	evaluation	human-agree	med
doi:10.1136/bmjopen-2023-072254	2023	Artificial intelligence in systematic reviews: promising when appropr…	screen	guideline	none	med
doi:10.1136/bmjopen-2023-076912	2024	Inter-reviewer reliability of human literature reviewing and implicat…	meta	evaluation	human-agree	med
doi:10.1136/bmjopen-2025-099921	2025	The introduction and adoption of artificial intelligence in systemati…	screen	evaluation	none	general
doi:10.1136/bmjopen-2025-106546	2025	Comparing the accuracy of AI-assisted data extraction versus human do…	extract	evaluation	human-agree	med
doi:10.1136/rapm-2023-104646	2023	Addition of dexamethasone to prolong peripheral nerve blocks: a ChatG…	report	evaluation	human-agree	med
doi:10.1136/rapm-2024-106231	2025	Evaluating the utility of large language models in generating search…	search	evaluation	benchmark	med
doi:10.1136/rapm-2024-106358	2025	Human versus artificial intelligence: evaluating ChatGPT’s performanc…	end2end	evaluation	human-agree	med
doi:10.1145/3366423.3380185	2020	Automatic Boolean Query Formulation for Systematic Review Literature…	search	method	benchmark	general
doi:10.1145/3528588.3528658	2022	Supporting systematic literature reviews using deep-learning-based la…	screen	method	benchmark	se
doi:10.1145/3539618.3591703	2023	Can ChatGPT Write a Good Boolean Query for Systematic Review Literatu…	search	evaluation	benchmark	general
doi:10.1145/3539618.3591768	2023	Smooth Operators for Effective Systematic Review Queries	search	method	benchmark	med
doi:10.1145/3578337.3605135	2023	Outcome-based Evaluation of Systematic Review Automation	screen	method	none	general
doi:10.1145/3624918.3625322	2023	Generating Natural Language Queries for More Effective Systematic Rev…	screen	method	benchmark	med
doi:10.1145/3661167.3661172	2024	The Promise and Challenges of Using LLMs to Accelerate the Screening…	screen	evaluation	human-agree	se
doi:10.1145/3674805.3686666	2024	ChatGPT application in Systematic Literature Reviews in Software Engi…	screen	evaluation	human-agree	se
doi:10.1145/3674805.3690743	2024	Data extraction for systematic mapping study using a large language m…	extract	evaluation	benchmark	se
doi:10.1145/3715964	2025	Automating Research Synthesis with Domain-Specific Large Language Mod…	synthesize	method	benchmark	general
doi:10.1145/3726302.3730133	2025	AiReview: An Open Platform for Accelerating Systematic Reviews with L…	screen	system	none	med
doi:10.1145/3731120.3744586	2025	AIDME: A Scalable, Interpretable Framework for AI-Aided Scoping Revie…	screen	system	none	general
doi:10.1145/3742414.3794723	2026	From Verification Burden to Trusted Collaboration: Design Goals for L…	search	evaluation	none	general
doi:10.1145/3747912.3747962	2025	AI Tools for Automating Systematic Literature Reviews	meta	evaluation	benchmark	general
doi:10.1145/3772363.3798755	2026	MetaMate: Understanding How Educational Researchers Experience AI-Ass…	extract	system	human-agree	general
doi:10.1145/3776734.3794506	2026	Charting the Growth of Social-Physical HRI (spHRI): A Systematic Revi…	screen	evaluation	human-agree	general
doi:10.1145/3777490.3777511	2026	Human-Centred Research Automation: Agentic AI Framework for Literatur…	end2end	system	none	general
doi:10.1155/2024/8815424	2024	Applying ChatGPT and AI‐Powered Tools to Accelerate Evidence Reviews	meta	evaluation	none	general
doi:10.1159/000552717	2026	SmartEBM AI Agent: A Web-Based Platform for Streamlining Network Meta…	synthesize	system	none	med
doi:10.1177/02683962211048201	2021	Artificial intelligence and the conduct of literature reviews	meta	position	none	general
doi:10.1177/02683962251371062	2025	Natural language processing enhanced literature reviews	meta	position	none	general
doi:10.1177/02683962261425675	2026	Generative artificial intelligence for literature reviews	meta	position	none	general
doi:10.1177/03400352241263532	2024	Exploring the use of generative artificial intelligence in systematic…	search	evaluation	human-agree	general
doi:10.1177/03400352251342513	2025	Exploring the potential of artificial intelligence usage in the knowl…	meta	evaluation	none	med
doi:10.1177/08944393231196281	2023	Cheap, Quick, and Rigorous: Artificial Intelligence and the Systemati…	meta	guideline	none	general
doi:10.1177/08944393251404052	2025	Evaluating the AI Tool “Elicit” as a Semi-Automated Second Reviewer f…	extract	evaluation	human-agree	med
doi:10.1177/10225536261459518	2026	Automating methodological quality assessment in orthopedic systematic…	appraise	evaluation	human-agree	med
doi:10.1177/15230864251405885	2025	Artificial Intelligence Tools in Biomedical Research: Part 1—Literatu…	search	position	none	med
doi:10.1177/20552076261467480	2026	Custom GPT models for complex rheumatology systematic reviews: A two-…	extract	evaluation	human-agree	med
doi:10.1177/25152459261442150	2026	Fast-Track Your Abstract Screening: Mastering ASReview for Accelerati…	screen	guideline	benchmark	general
doi:10.1186/s12859-021-04396-x	2021	Using neural networks to support high-quality evidence mapping	screen	method	none	med
doi:10.1186/s12874-020-01031-w	2020	The semi-automation of title and abstract screening: a retrospective…	screen	evaluation	human-agree	med
doi:10.1186/s12874-020-01129-1	2020	An evaluation of DistillerSR’s machine learning-based prioritization…	screen	evaluation	human-agree	med
doi:10.1186/s12874-021-01354-2	2021	Creating efficiencies in the extraction of data from randomized trial…	extract	evaluation	human-agree	med
doi:10.1186/s12874-021-01451-2	2021	Guidance for using artificial intelligence for title and abstract scr…	screen	guideline	none	med
doi:10.1186/s12874-022-01631-8	2022	Abstract screening using the automated tool Rayyan: results of effect…	screen	evaluation	human-agree	med
doi:10.1186/s12874-022-01649-y	2022	Automating risk of bias assessment in systematic reviews: a real-time…	appraise	evaluation	human-agree	med
doi:10.1186/s12874-022-01805-4	2022	Machine learning computational tools to assist the performance of sys…	meta	evaluation	none	med
doi:10.1186/s12874-023-02038-9	2023	Semi-automated assessment of the risk of bias due to missing evidence…	appraise	system	none	med
doi:10.1186/s12874-024-02203-8	2024	Methodological insights into ChatGPT’s screening performance in syste…	screen	evaluation	human-agree	med
doi:10.1186/s12874-025-02528-y	2025	Using artificial intelligence for systematic review: the example of e…	search	evaluation	human-agree	general
doi:10.1186/s12874-025-02532-2	2025	Evaluating the performance of artificial intelligence in summarizing…	synthesize	evaluation	human-agree	general
doi:10.1186/s12874-025-02583-5	2025	Streamlining systematic reviews with large language models using prom…	screen	evaluation	benchmark	med
doi:10.1186/s12874-025-02644-9	2025	Artificial intelligence for the science of evidence synthesis: how go…	screen	evaluation	human-agree	general
doi:10.1186/s12874-025-02729-5	2026	Assessing data extraction in randomized clinical trials with large la…	extract	evaluation	human-agree	med
doi:10.1186/s12874-026-02847-8	2026	From chaos to clarity: schema-constrained AI for auditable biomedical…	extract	system	benchmark	med
doi:10.1186/s12874-026-02892-3	2026	Evaluating Elicit’s systematic reviews workflow in an umbrella review…	end2end	evaluation	human-agree	med
doi:10.1186/s12911-022-01897-4	2022	Automatic data extraction to support meta-analysis statistical analys…	extract	system	none	med
doi:10.1186/s12911-022-02085-0	2022	LiSA: an assisted literature search pipeline for detecting serious ad…	search	system	none	med
doi:10.1186/s12911-023-02328-8	2023	Automatic literature screening using the PAJO deep-learning model for…	screen	method	benchmark	med
doi:10.1186/s12911-025-03138-w	2025	A comparative study of screening performance between abstrackr and GP…	screen	evaluation	benchmark	general
doi:10.1186/s12916-026-04709-y	2026	The Trial Bank initiative to promote trustworthy living evidence for…	end2end	system	none	med
doi:10.1186/s12967-023-04371-5	2024	Development of search strategies for systematic reviews in health usi…	search	evaluation	none	med
doi:10.1186/s13018-025-06386-8	2025	Applying machine learning to enhance core outcome set development: au…	extract	evaluation	human-agree	med
doi:10.1186/s13326-022-00271-7	2022	An annotated corpus of clinical trial publications supporting schema-…	extract	method	benchmark	med
doi:10.1186/s13326-024-00305-2	2024	Comparing generative and extractive approaches to information extract…	extract	evaluation	benchmark	med
doi:10.1186/s13643-020-01324-7	2020	Machine learning for screening prioritization in systematic reviews:…	screen	evaluation	human-agree	med
doi:10.1186/s13643-020-01351-4	2020	A focus on cross-purpose tools, automated recognition of study design…	meta	position	none	general
doi:10.1186/s13643-020-01450-2	2020	Comparison of a traditional systematic review approach with review-of…	screen	evaluation	human-agree	med
doi:10.1186/s13643-020-01521-4	2020	Statistical stopping criteria for automated screening in systematic r…	screen	method	human-agree	med
doi:10.1186/s13643-020-01569-2	2021	The views of health guideline developers on the use of automation in…	meta	guideline	none	med
doi:10.1186/s13643-021-01635-3	2021	Research Screener: a machine learning tool to semi-automate abstract…	screen	system	human-agree	general
doi:10.1186/s13643-021-01700-x	2021	Text mining to support abstract screening for knowledge syntheses: a…	screen	method	human-agree	general
doi:10.1186/s13643-021-01763-w	2021	srBERT: automatic article classification model for systematic review…	screen	method	benchmark	med
doi:10.1186/s13643-021-01881-5	2022	Automation of literature screening using machine learning in medical…	screen	method	none	med
doi:10.1186/s13643-022-02045-9	2022	Reducing systematic review burden using Deduklick: a novel, automated…	search	system	human-agree	med
doi:10.1186/s13643-022-02074-4	2022	PICO entity extraction for preclinical animal literature	extract	method	benchmark	med
doi:10.1186/s13643-022-02163-4	2023	Unsupervised title and abstract screening for systematic review: a re…	screen	method	benchmark	general
doi:10.1186/s13643-023-02243-z	2023	Are ChatGPT and large language models “the answer” to bringing us clo…	meta	position	none	general
doi:10.1186/s13643-023-02257-7	2023	Performance of active learning models for screening prioritization in…	screen	evaluation	benchmark	med
doi:10.1186/s13643-023-02351-w	2023	Evaluation of a prototype machine learning tool to semi-automate data…	extract	evaluation	human-agree	med
doi:10.1186/s13643-023-02353-8	2023	Semi-automating abstract screening with a natural language model pret…	screen	evaluation	human-agree	med
doi:10.1186/s13643-024-02575-4	2024	Title and abstract screening for literature reviews using large langu…	screen	evaluation	human-agree	med
doi:10.1186/s13643-024-02590-5	2024	Machine learning to optimize literature screening in medical guidelin…	screen	evaluation	human-agree	med
doi:10.1186/s13643-024-02592-3	2024	Automation of systematic reviews of biomedical literature: a scoping…	meta	evaluation	none	med
doi:10.1186/s13643-024-02609-x	2024	Evaluating the effectiveness of large language models in abstract scr…	screen	evaluation	benchmark	general
doi:10.1186/s13643-024-02666-2	2024	Large language models, updates, and evaluation of automation tools fo…	meta	guideline	none	general
doi:10.1186/s13643-024-02682-2	2024	Leveraging artificial intelligence to enhance systematic reviews in h…	meta	position	none	med
