rank	openalex_id	year	doi	title	venue	type	abstract
35	W3042991734	2020	https://doi.org/10.48550/arxiv.2007.06803	Bounding The Number of Linear Regions in Local Area for Neural Networks with ReLU Activations	arXiv (Cornell University)	preprint	The number of linear regions is one of the distinct properties of the neural networks using piecewise linear activation functions such as ReLU, comparing with those conventional ones using other activation functions. Previous studies showed this property reflected the expressivity of a neural network family ([14]); as a result, it can be used to characterize how the structural complexity of a neural network model affects the function it aims to compute. Nonetheless, it is challenging to directly compute the number of linear regions; therefore, many researchers focus on estimating the bounds (in particular the upper bound) of the number of linear regions for deep neural networks using ReLU. These methods, however, attempted to estimate the upper bound in the entire input space. The theoretical methods are still lacking to estimate the number of linear regions within a specific area of the input space, e.g., a sphere centered at a training data point such as an adversarial example or a backdoor trigger. In this paper, we present the first method to estimate the upper bound of the number of linear regions in any sphere in the input space of a given ReLU neural network. We implemented the method, and computed the bounds in deep neural networks using the piece-wise linear active function. Our experiments showed that, while training a neural network, the boundaries of the linear regions tend to move away from the training data points. In addition, we observe that the spheres centered at the training data points tend to contain more linear regions than any arbitrary points in the input space. To the best of our knowledge, this is the first study of bounding linear regions around a specific data point. We consider our work as a first step toward the investigation of the structural complexity of deep neural networks in a specific input area.
36	W3147318565	2021	https://doi.org/10.48550/arxiv.2103.17174	Using activation histograms to bound the number of affine regions in ReLU feed-forward neural networks	arXiv (Cornell University)	preprint	Several current bounds on the maximal number of affine regions of a ReLU feed-forward neural network are special cases of the framework [1] which relies on layer-wise activation histogram bounds. We analyze and partially solve a problem in algebraic topology the solution of which would fully exploit this framework. Our partial solution already induces slightly tighter bounds and suggests insight in how parameter initialization methods can affect the number of regions. Furthermore, we extend the framework to allow the composition of subnetwork instead of layer-wise activation histogram bounds to reduce the number of required compositions which negatively affect the tightness of the resulting bound.
37	W3164782357	2021	https://doi.org/10.48550/arxiv.2105.10393	ReLUSyn: Synthesizing Stealthy Attacks for Deep Neural Network Based Cyber-Physical Systems	arXiv (Cornell University)	preprint	Cyber Physical Systems (cps) are deployed in many mission-critical settings, such as medical devices, autonomous vehicular systems and aircraft control management systems. As more and more CPS adopt Deep Neural Networks (Deep Neural Network (dnns), these systems can be vulnerable to attacks. . Prior work has demonstrated the susceptibility of CPS to False Data Injection Attacks (False Data Injection Attacks (fdias), which can cause significant damage. We identify a new category of attacks on these systems. In this paper, we demonstrate that DNN based CPS are also subject to these attacks. These attacks, which we call Ripple False Data Injection Attacks (rfdia), use minimal input perturbations to stealthily change the dnn output. The input perturbations propagate as ripples through multiple dnn layers to affect the output in a targeted manner. We develop an automated technique to synthesize rfdias against DNN-based CPS. Our technique models the attack as an optimization problem using Mixed Integer Linear Programming (Mixed Integer Linear Program (milp)). We define an abstraction for dnnbased cps that allows us to automatically: 1) identify the critical inputs, and 2) find the smallest perturbations that produce output changes. We demonstrate our technique on three practical cps with two mission-critical applications: an (Artifical Pancreas System (aps)) and two aircraft control management systems (Horizontal Collision Avoidance System (hcas) and Collision Avoidance System-Xu (acas-xu)).
38	W4412934985	2025	https://doi.org/10.2139/ssrn.5376053	A Unified Perspective on Embeddings: From Classical Statistics to Modern Machine Learning	SSRN Electronic Journal	preprint	
39	W2808530325	2018	https://doi.org/10.48550/arxiv.1806.06365	How Could Polyhedral Theory Harness Deep Learning?	arXiv (Cornell University)	preprint	The holy grail of deep learning is to come up with an automatic method to design optimal architectures for different applications. In other words, how can we effectively dimension and organize neurons along the network layers based on the computational resources, input size, and amount of training data? We outline promising research directions based on polyhedral theory and mixed-integer representability that may offer an analytical approach to this question, in contrast to the empirical techniques often employed.
40	W3017906232	2021	https://doi.org/10.48550/arxiv.2101.07126	A simple geometric proof for the benefit of depth in ReLU networks	arXiv (Cornell University)	preprint	"We present a simple proof for the benefit of depth in multi-layer feedforward network with rectified activation (""depth separation""). Specifically we present a sequence of classification problems indexed by $m$ such that (a) for any fixed depth rectified network there exist an $m$ above which classifying problem $m$ correctly requires exponential number of parameters (in $m$); and (b) for any problem in the sequence, we present a concrete neural network with linear depth (in $m$) and small constant width ($\leq 4$) that classifies the problem with zero error. The constructive proof is based on geometric arguments and a space folding construction. While stronger bounds and results exist, our proof uses substantially simpler tools and techniques, and should be accessible to undergraduate students in computer science and people with similar backgrounds."
41	W3053474900	2020	https://doi.org/10.48550/arxiv.2008.08386	ReLU activated Multi-Layer Neural Networks trained with Mixed Integer Linear Programs	arXiv (Cornell University)	preprint	In this paper, it is demonstrated through a case study that multilayer feedforward neural networks activated by ReLU functions can in principle be trained iteratively with Mixed Integer Linear Programs (MILPs) as follows. Weights are determined with batch learning. Multiple iterations are used per batch of training data. In each iteration, the algorithm starts at the output layer and propagates information back to the first hidden layer to adjust the weights using MILPs or Linear Programs. For each layer, the goal is to minimize the difference between its output and the corresponding target output. The target output of the last (output) layer is equal to the ground truth. The target output of a previous layer is defined as the adjusted input of the following layer. For a given layer, weights are computed by solving a MILP. Then, except for the first hidden layer, the input values are also modified with a MILP to better match the layer outputs to their corresponding target outputs. The method was tested and compared with Tensorflow/Keras (Adam optimizer) using two simple networks on the MNIST dataset containing handwritten digits. Accuracies of the same magnitude as with Tensorflow/Keras were achieved.
42	W3214709621	2021		Model-Based Reinforcement Learning for Stochastic Hybrid Systems	arXiv (Cornell University)	preprint	Optimal control of general nonlinear systems is a central challenge in automation. Data-driven approaches to control, enabled by powerful function approximators, have recently had great success in tackling challenging robotic applications. However, such methods often obscure the structure of dynamics and control behind black-box over-parameterized representations, thus limiting our ability to understand the closed-loop behavior. This paper adopts a hybrid-system view of nonlinear modeling and control that lends an explicit hierarchical structure to the problem and breaks down complex dynamics into simpler localized units. Therefore, we consider a sequence modeling paradigm that captures the temporal structure of the data and derive an expecation-maximization (EM) algorithm that automatically decomposes nonlinear dynamics into stochastic piecewise affine dynamical systems with nonlinear boundaries. Furthermore, we show that these time-series models naturally admit a closed-loop extension that we use to extract locally linear or polynomial feedback controllers from nonlinear experts via imitation learning. Finally, we introduce a novel hybrid realtive entropy policy search (Hb-REPS) technique that incorporates the hierarchical nature of hybrid systems and optimizes a set of time-invariant local feedback controllers derived from a locally polynomial approximation of a global value function.
43	W4367183255	2023	https://doi.org/10.21203/rs.3.rs-2865002/v1	Most Accurate Multiclass Linear Classifiers Producing Disconnected Decision Regions	Research Square	preprint	
44	W4392080785	2024	https://doi.org/10.1002/sta4.654	A note about why deep learning is deep: A discontinuous approximation perspective	Stat	article	Abstract Deep learning has achieved unprecedented success in recent years. This approach essentially uses the composition of nonlinear functions to model the complex relationship between input features and output labels. However, a comprehensive theoretical understanding of why the hierarchical layered structure can exhibit superior expressive power is still lacking. In this paper, we provide an explanation for this phenomenon by measuring the approximation efficiency of neural networks with respect to discontinuous target functions. We focus on deep neural networks with rectified linear unit (ReLU) activation functions. We find that to achieve the same degree of approximation accuracy, the number of neurons required by a single‐hidden‐layer (SHL) network is exponentially greater than that required by a multi‐hidden‐layer (MHL) network. In practice, discontinuous points tend to contain highly valuable information (i.e., edges in image classification). We argue that this may be a very important reason accounting for the impressive performance of deep neural networks. We validate our theory in extensive experiments.
45	W4394930526	2024	https://doi.org/10.36227/techrxiv.171340392.27668396/v1	Scaling Laws of Data-Driven Machine Learning Models: A Survey and Taxonomy		preprint	In recent years, there has been a notable surge in research dedicated to data-driven paradigms, which use existing data to train models capable of applying learned principles to real-world tasks. As the scale effects of the model are empirically confirmed, the importance of the data-driven paradigm becomes more apparent. However, scaling up also entails increased costs, necessitating theoretical estimations to provide reasonable guidance. This underscores the importance of foundational theoretical work on model scaling laws. Despite the wealth of research exploring model scaling laws from various perspectives, there lacks a comprehensive framework to integrate these findings. This work systematically summarizes and classifies existing theoretical work through the construction of a model triangular pyramid, considering data, computation, and algorithms as the three key factors. By organizing and categorizing these theories systematically, our aim is to provide a cohesive framework for navigating the complex and evolving landscape of scaling laws within the realm of data-driven models.
46	W4404282626	2024	https://doi.org/10.47086/pims.1579364	How Analysis Can Teach Us the Optimal Way to Design Neural Operators	Proceedings of International Mathematical Sciences	article	This paper presents a mathematics-informed approach to neural operator design, building upon the theoretical framework established in our prior work. By integrating rigorous mathematical analysis with practical design strategies, we aim to enhance the stability, convergence, generalization, and computational efficiency of neural operators. We revisit key theoretical insights, including stability in high dimensions, exponential convergence, and universality of neural operators. Based on these insights, we provide detailed design recommendations, each supported by mathematical proofs and citations. Our contributions offer a systematic methodology for developing next-gen neural operators with improved performance and reliability.
47	W4410057580	2025	https://doi.org/10.2139/ssrn.5240228	Super-Fast Rates of Convergence for Neural Networks Classifiers Under the Hard Margin Condition	SSRN Electronic Journal	preprint	
