key	status	code	year	title	cluster	priority	relevance	url
doi:10.1145/157485.164880	candidate		1993	An efficient partitioning strategy for pseudo-exhaustive testing	local-exhaustive-testing	medium	Partitions output cones to reduce pseudo-exhaustive test application time with a polynomial heuristic	
doi:10.1109/itc50671.2022.00083	candidate		2022	PEPR: Pseudo-Exhaustive Physically-Aware Region Testing	local-exhaustive-testing	medium	Selects physical and logical circuit regions for exhaustive defect testing; a modern continuation of static support-local testing	
doi:10.1109/icassp49357.2023.10095698	deep-read		2023	Fast and Exact Enumeration of Deep Networks Partitions Regions	neural-region-enumeration	critical	Recursively LP-tests feasible CPA activation cells; a zero coordinate denotes an implied sign rather than structurally unobserved computation	
doi:10.1137/15m1027930	deep-read		2018	A New Algorithm for Enumeration of Cells of Hyperplane Arrangements	hyperplane-cell-enumeration	critical	Proves complete duplicate-free incremental enumeration of full-dimensional hyperplane cells with an OutputP bound	
t:boundingandcountinglinearregionsofdeepneuralnetworks	deep-read		2018	Bounding and Counting Linear Regions of Deep Neural Networks	neural-region-enumeration	critical	Exactly enumerates and counts feasible dense ReLU activation patterns by mixed-integer programming	https://proceedings.mlr.press/v80/serra18b.html
doi:10.1109/icra48506.2021.9561956	deep-read		2021	Reachable Polyhedral Marching	neural-region-enumeration	critical	Enumerates exact ReLU activation polyhedra together with affine residual maps by adjacency traversal	
doi:10.1137/24m1646996	deep-read		2025	Algorithmic Determination of the Combinatorial Structure of ReLU Regions	neural-region-enumeration	critical	Enumerates the full ReLU polyhedral complex and face poset using ternary sign sequences	
t:polyhedralcomplexextractionfromrelunetworksusingedgesubdivision	deep-read		2023	Polyhedral Complex Extraction from ReLU Networks Using Edge Subdivision	neural-region-enumeration	critical	Extracts an exact bounded ReLU polyhedral complex on a GPU by iterative edge subdivision	https://proceedings.mlr.press/v202/berzins23a.html
arxiv:2403.00860	deep-read		2024	Parallel Algorithms for Exact Enumeration of Deep Neural Network Activation Regions	neural-region-enumeration	critical	Gives a correctness argument and parameterized work analysis for parallel layerwise activation-region enumeration	
doi:10.1145/1411286.1411292	deep-read		2008	SmallCheck and Lazy SmallCheck	demand-driven-testing	critical	Property-demanded refinement of tagged partial inputs prunes every bounded total refinement once the Boolean observer is known	
legacy:runciman2009smallcheck	excluded	E7-duplicate-version	2009		demand-driven-testing	medium	Duplicate manuscript version of the Haskell 2008 Lazy SmallCheck paper	https://www.cs.york.ac.uk/fp/smallcheck/smallcheck.pdf
t:propertydirectedgenerationoffirstordertestdata	deep-read		2008	Property Directed Generation of First-Order Test Data	demand-driven-testing	critical	TFP 2007 paper published in 2008; enumerates partial constructor terms denoting exact sets of total refinements by refining property-blocking metavariables until the Boolean observer is known	https://research.chalmers.se/publication/111863
doi:10.1007/978-3-540-78969-7_23	candidate		2008	EasyCheck — Test Data for Free	demand-driven-testing	high	Narrowing-based systematic generation of demanded test data in functional-logic programs	
doi:10.1007/978-3-642-41582-1_4	screened		2012	Advances in Lazy SmallCheck	demand-driven-testing	high	Extends Lazy SmallCheck with functional tries, nested mixed quantification, demanded-position tags, and precise wildcard partial counterexamples	
doi:10.1007/978-3-642-38088-4_16	deep-read		2013	Bounded Lazy Initialization	symbolic-execution	high	Field-access-driven partial heaps use relational bounds and canonical labels to prune invalid or isomorphic completions	
doi:10.1109/tse.2015.2389225	deep-read		2015	BLISS	symbolic-execution	high	Proves bounded lazy initialization preserves valid lazy-initialization heaps while SAT rejects partial heaps with no valid completion	
doi:10.1145/3551349.3556965	deep-read		2022	LISSA	symbolic-execution	high	Target-demanded partial heaps summarize matching concrete paths while repOK-guided bounded search decides extendability	
doi:10.1109/issre59848.2023.00080	deep-read		2023	Precise Lazy Initialization	symbolic-execution	high	Joint heap and primitive path-condition feasibility preserves bounded lazy-initialization symbolic states	
doi:10.1145/1985793.1985947	excluded	E6-out-of-scope-model	2011	The lazy initialization multilayered modeling framework (NIER track)	metamodeling	low	Lazy multilayer metamodel instantiation rather than test-input or program-state demand	
doi:10.1145/2491411.2491433	excluded	E7-duplicate-version	2013	Enhancing symbolic execution with built-in term rewriting and constrained lazy initialization	symbolic-execution	medium	Preliminary lazy-initialization constraint-solving paper superseded by the full HEX treatment	
doi:10.1145/2786805.2786842	candidate		2015	Symbolic execution of programs with heap inputs	symbolic-execution	high	Full heap-input constraint-solving successor to preliminary LICS work	
doi:10.1002/stvr.1547	candidate		2014	RepOK‐based reduction of bounded exhaustive testing	model-enumeration	high	Partitions valid bounded-exhaustive inputs by repOK coverage and heuristically removes equivalent tests	
doi:10.1007/978-3-319-67549-7_3	deep-read		2017	Effective Infinite-State Model Checking by IECP	observer-equivalence	critical	Enumerates a finite exact input partition preserving every state class's transition behavior over an infinite input domain and minimizes it to a coarsest partition	
doi:10.1007/s00165-016-0402-2	candidate		2017	Complete model-based equivalence class testing for nondeterministic systems	observer-equivalence	high	Lifts complete FSM testing to input-equivalence classes for nondeterministic systems over possibly infinite input domains	
doi:10.1016/j.scico.2023.103005	deep-read		2024	Exhaustive property-oriented SFSM testing	observer-equivalence	critical	Enumerates every satisfiable Boolean atom of a fixed guard/output/property alphabet and proves exhaustive property-oriented test suites over the induced exact classes	
doi:10.1007/s10515-007-0015-3	candidate		2007	JWalk: a tool for lazy, systematic testing of java classes by design introspection and user interaction	model-enumeration	medium	Boundedly explores method sequences and groups object states by finite Boolean observer vectors while acquiring human oracles lazily	
doi:10.1145/3293882.3330554	candidate		2019	Deferred Concretization in Symbolic Execution via Fuzzing	symbolic-execution	high	Deferred concretization combines fuzzing and solving to avoid eagerly fixing values, but provides neither exact exhaustive class enumeration nor a completeness theorem	
doi:10.1109/scam.2007.30	candidate		2007	Finding Inputs that Reach a Target Expression	demand-driven-testing	high	Searches demanded partial inputs for values that reach a chosen target expression; the observer-targeted sibling of Lazy SmallCheck	
doi:10.1007/978-3-642-35308-6_10	candidate		2012	The New Quickcheck for Isabelle	model-enumeration	medium	Counterexample search for Isabelle predicates using exhaustive, random, and narrowing-based generators	
doi:10.1145/3158133	candidate		2017	Generating good generators for inductive relations	model-enumeration	high	Derives property-based generators from inductive relations while preserving generation correctness	
doi:10.1007/978-3-642-34407-7_5	candidate		2011	Lazy Generation of Canonical Test Programs	demand-driven-testing	high	Lazily generates canonical small programs to remove observationally redundant test cases	
doi:10.1007/978-3-030-31157-5_12	candidate		2019	Property-Based Test Case Generators for Free	model-enumeration	high	Derives property-based test generators from executable specifications using functional-logic search	
doi:10.1145/3236797	candidate		2018	Keep your laziness in check	demand-driven-testing	high	StrictCheck combines lazy observations and partial values to test strictness properties exhaustively	
doi:10.1145/3689745	candidate		2024	Refinement Type Refutations	demand-driven-testing	high	Uses refinement-type refutations and partial counterexamples to prune property-based search	
doi:10.1145/3205368.3205371	candidate		2017	Extrapolate	model-enumeration	high	Extrapolates finite test evidence into conjectures and counterexamples for Haskell properties	
doi:10.1007/978-3-642-34005-5_11	candidate		2012	Using Narrowing to Test Maude Specifications	model-enumeration	medium	Applies narrowing to systematically produce test data satisfying Maude specifications	
doi:10.1145/2001420.2001465	candidate		2011	High coverage testing of Haskell programs	demand-driven-testing	high	Combines symbolic evaluation and constraint solving to generate high-coverage Haskell tests	
doi:10.1007/978-3-642-28717-6_14	candidate		2012	Smart Testing of Functional Programs in Isabelle	model-enumeration	medium	Integrates exhaustive and narrowing-based functional-program testing in Isabelle	
doi:10.1007/978-3-319-51676-9_7	candidate		2016	Failing Faster: Overlapping Patterns for Property-Based Testing	demand-driven-testing	high	Uses overlapping patterns to expose property failures earlier during systematic test generation	
legacy:fischer2010thesis	candidate		2010		functional-logic	high	Develops functional-logic testing methods including the expanded EasyCheck lineage	https://openalex.org/W2157533082
legacy:fowler2019narrowing	candidate		2019		demand-driven-testing	high	Systematically studies narrowing-based property testing and demand-guided generation	https://eprints.nottingham.ac.uk/57009/
doi:10.1109/icst46399.2020.00016	candidate		2020	MiMIs: Simple, Efficient, and Fast Bounded-Exhaustive Test Case Generators	model-enumeration	high	Generates bounded-exhaustive complex structures with simple executable generator interfaces	
doi:10.1145/3183440.3195002	candidate		2018	Efficient iterative deepening for bounded exhaustive generation of complex structures	model-enumeration	high	Uses efficient iterative deepening for bounded-exhaustive generation of complex structures	
doi:10.1109/tse.2005.52	candidate		2005	Software assurance by bounded exhaustive testing	model-enumeration	high	Establishes software assurance by bounded-exhaustive test generation and execution	
doi:10.1145/3133918	candidate		2017	Bounded exhaustive test-input generation on GPUs	model-enumeration	high	Parallelizes bounded-exhaustive test-input generation on GPUs	
doi:10.1016/j.scico.2024.103153	candidate		2024	BEAPI: A tool for bounded exhaustive input generation from APIs	model-enumeration	high	Generates bounded-exhaustive inputs from executable API construction sequences	
doi:10.1007/978-3-642-00593-0_12	candidate		2009	Reducing the Costs of Bounded-Exhaustive Testing	model-enumeration	high	Reduces bounded-exhaustive testing costs with abstraction and state-space pruning	
doi:10.1016/0304-3975(91)90082-d	candidate		1991	An extensional fixed-point semantics for nondeterministic data flow	semantics	high	Studies extensional semantics for nondeterministic computations and result equivalence	
t:dblpsearchforhennessysemanticsnondeterminism1980	candidate		1980	"dblp: Search for ""Hennessy semantics nondeterminism 1980"""	semantics	high	Foundational semantic treatment of nondeterminism and observable results	https://dblp.org/search?q=Hennessy%20semantics%20nondeterminism%201980
doi:10.14264/192541	candidate		1994	A refinement calculus for nondeterministic expressions	semantics	medium	Develops a refinement calculus for nondeterministic expressions	
doi:10.1145/3808306	candidate		2026	Soteria: Efficient Symbolic Execution as a Functional Library: Perhaps You Should Write Your Own Symbolic Execution Engine!	symbolic-execution	high	Builds symbolic execution as a functional library with explicit sharing and effect structure	
doi:10.1017/s0956796824000133	candidate		2024	From high to low: Simulating nondeterminism and state with state	semantics	high	Simulates nondeterminism and state through an algebraic high-to-low translation	
doi:10.1587/transinf.2018edp7298	candidate		2019	SCSE: Boosting Symbolic Execution via State Concretization	symbolic-execution	medium	Uses state concretization to control symbolic-execution path explosion	
doi:10.1145/3158128	candidate		2018	Symbolic types for lenient symbolic execution	symbolic-execution	high	Represents lenient symbolic execution with symbolic types and deferred failures	
doi:10.1109/test.2005.1584040	candidate		2005	Gate exhaustive testing	local-exhaustive-testing	medium	Defines gate-exhaustive circuit testing, a local exhaustive hardware criterion	
doi:10.1109/vts69484.2026.11563331	candidate		2026	Late Breaking Results - Diagnostic Test Templates for Two-Cycle Gate-Exhaustive Faults	local-exhaustive-testing	medium	Constructs diagnostic templates for two-cycle gate-exhaustive faults	
doi:10.1007/978-3-032-04167-8_7	candidate		2026	Exploiting Partial-Assignment Enumeration in Optimization Modulo Theories	model-enumeration	high	Exploits partial-assignment enumeration inside optimization modulo theories	
doi:10.1007/bf01582107	candidate		1979	Preventing redundant solutions in partial enumeration algorithms	model-enumeration	medium	Avoids redundant solutions during partial enumeration	
doi:10.1109/access.2019.2927041	candidate		2019	Augmenting Negation Normal Form With Irrelevant Variables	knowledge-compilation	high	Augments negation normal form with explicit irrelevant variables, a logical omission representation	
doi:10.1145/2642937.2642951	candidate		2014	Targeted test input generation using symbolic-concrete backward execution	symbolic-execution	high	Uses symbolic-concrete backward execution to generate inputs for a chosen target	
doi:10.1109/ast58925.2023.00012	candidate		2023	Structural Test Input Generation for 3-Address Code Coverage Using Path-Merged Symbolic Execution	symbolic-execution	high	Generates structural-coverage inputs with path-merged symbolic execution	
doi:10.1007/bf03259389	deep-read		1994	Stability, Sequentiality and Demand Driven Evaluation in Dataflow	demand-semantics	critical	Characterizes existence of a least legal output-complete valuation by stability for fixed inputs and output-position demands	
doi:10.1007/3-540-16042-6_23	excluded	E7-duplicate-version	1985	Demand-Driven Evaluation on Dataflow Machine	demand-semantics	low	One-page invited-talk record whose substantive result is covered by Pingali and Arvind Part 1	
doi:10.1145/3318.3480	deep-read		1985	Efficient Demand-Driven Evaluation. Part 1	demand-semantics	critical	Transforms stream dataflow graphs with reverse demand edges and proves compositional correctness and parsimony properties	
doi:10.1145/5001.5003	screened		1986	Efficient Demand-Driven Evaluation. Part 2	demand-semantics	high	Replaces microscopic demand propagation with global transformations and proves safety and termination properties	
doi:10.1016/0743-7315(90)90036-o	screened		1990	Efficient Data-Driven Evaluation: Theory and Implementation	demand-semantics	high	Propagates termination through a backwards graph of critical nodes to suppress useless runtime branches	
legacy:kahn1974semantics	candidate		1974		dataflow-semantics	high	Foundational continuous stream-function and least-fixed-point semantics for process networks	https://www.cs.columbia.edu/~sedwards/papers/kahn1974semantics.pdf
doi:10.1007/3-540-08860-1_7	candidate		1978	Stable models of typed λ-calculi	demand-semantics	high	Introduces stable functions used by later least-demanded-computation characterizations	
doi:10.1007/3-540-07389-2_226	candidate		1975	On representation of sequential and parallel functions	demand-semantics	high	Foundational sequential and effectively sequential function notions	
doi:10.1007/3540543961_16	candidate		1991	Reasoning about simple and exhaustive demand in higher-order lazy languages	demand-semantics	medium	Uses strictness types to distinguish simple from exhaustive demand in higher-order lazy programs	
doi:10.1016/0165-6074(90)90167-8	candidate		1990	A demand-driven macro-dataflow schema for distributed graph reduction on multiple G-machines	demand-semantics	medium	Operational demand-driven graph reduction over a distributed macro-dataflow machine	
doi:10.1145/3485543	candidate		2021	Programming and execution models for parallel bounded exhaustive testing	model-enumeration	high	Parallel exhaustive exploration of hybrid imperative/declarative bounded test generators on CPUs and GPUs	
doi:10.1145/3611643.3616287	candidate		2023	State Merging with Quantifiers in Symbolic Execution	multipath	high	Partitions merge-compatible symbolic states and encodes their merged path constraints and memories with quantifiers	
doi:10.1109/tse.1975.6312837	candidate		1975	A system for reliable engineering software	testing-theory	medium	Foundational domain-based theory of test-data selection and revealing criteria	
doi:10.1145/351240.351266	candidate		2000	QuickCheck	property-based-testing	high	Introduces random property-based testing with typed generators and shrinking	
t:parallelevaluationstrategiesforfunctionallogiclanguages	candidate		1997	Parallel Evaluation Strategies for Functional Logic Languages	functional-logic-search	medium	Compares parallel evaluation strategies for functional-logic languages	https://dblp.org/rec/conf/iclp/AntoyEH97
doi:10.1145/258948.258958	candidate		1997	Flexible representation analysis	functional-logic-search	high	Gives a unified operational computation model for functional and logic programming	
doi:10.1016/0166-218x(95)00026-n	deep-read		1996	Reverse Search for Enumeration	hyperplane-cell-enumeration	critical	Reverse search enumerates every full-dimensional affine-arrangement cell exactly once in O(m n l(m,n) |C|) time and O(mn) space without general-position assumptions	
doi:10.1007/bfb0054377	deep-read		1998	Output-Sensitive Cell Enumeration in Hyperplane Arrangements	hyperplane-cell-enumeration	critical	Improves reverse-search cell enumeration to O(m |C|) arithmetic time for fixed dimension, with polynomial-rate output and O(m^2) space	
doi:10.1137/0215024	candidate		1986	Constructing Arrangements of Lines and Hyperplanes with Applications	hyperplane-cell-enumeration	medium	Classical construction algorithm for arrangements of lines and hyperplanes	
doi:10.1090/memo/0154	candidate		1975	Facing up to arrangements: face-count formulas for partitions of space by hyperplanes	hyperplane-cell-enumeration	medium	Classical face-count formulas for hyperplane arrangements	
arxiv:2008.09052	candidate		2020	On transversality of bent hyperplane arrangements and the topological expressiveness of ReLU neural networks	neural-region-enumeration	high	Studies bent-hyperplane transversality and topological expressiveness of ReLU networks	
arxiv:1402.1869	candidate		2014	On the Number of Linear Regions of Deep Neural Networks	neural-region-enumeration	high	Foundational lower bounds and structural analysis for ReLU linear regions	
arxiv:1906.00904	candidate		2019	Deep ReLU Networks Have Surprisingly Few Activation Patterns	neural-region-enumeration	high	Studies realizable activation patterns and their empirical sparsity in deep ReLU networks	
arxiv:1901.09021	candidate		2019	Complexity of Linear Regions in Deep Networks	neural-region-enumeration	high	Analyzes expected linear-region complexity in deep networks	
arxiv:2003.01226	screened		2020	Reachability Analysis for Feed-Forward Neural Networks Using Face Lattices	neural-region-enumeration	high	Retains original-input subpolytopes with affine maps while computing exact ReLU reachable sets by face lattices	
arxiv:1712.08163	screened		2017	Reachable Set Computation and Safety Verification for Neural Networks with ReLU Activations	neural-region-enumeration	high	Computes exact layerwise reachable unions of polyhedra for ReLU networks	
doi:10.1007/978-3-030-30942-8_39	deep-read		2019	Star-Based Reachability Analysis of Deep Neural Networks	neural-region-enumeration	high	Uses exact star sets to retain input predicates and affine images and reconstruct complete unsafe input sets	
arxiv:1910.03879	deep-read		2020	Dissecting Deep Neural Networks	neural-region-enumeration	high	Converts fully connected ReLU networks exactly into explicit region and affine-map pairs	
doi:10.1007/978-3-030-53288-8_4	screened		2020	Improved Geometric Path Enumeration for Verifying ReLU Neural Networks	neural-region-enumeration	high	Enumerates every dense ReLU path for an input set by exact star splitting	
doi:10.1007/978-3-030-72013-1_15	screened		2021	SyReNN: A Tool for Analyzing Deep Neural Networks	neural-region-enumeration	high	Constructs exact low-dimensional convex partitions for several piecewise-linear layer kinds	
arxiv:2105.07776	screened		2021	DISCO Verification	neural-region-enumeration	high	Enumerates feasible facets and their linear functions for exact neural-network behavior partitioning	
t:traversingthelocalpolytopesofreluneuralnetworks	screened		2022	Traversing the Local Polytopes of ReLU Neural Networks	neural-region-enumeration	high	Proves complete traversal of every nonempty ReLU local polytope intersecting a bounded convex region	https://openreview.net/pdf?id=EQjwT2-Vaba
doi:10.24963/ijcai.2022/492	screened		2022	Estimation and Comparison of Linear Regions for ReLU Networks	neural-region-enumeration	high	Distinguishes activation regions from maximal affine regions and merges connected equal-map cells	
t:splinecam	screened		2023	SplineCam	neural-region-enumeration	high	Constructs exact bounded two-dimensional CPWL partitions and per-region affine functions across heterogeneous layers	https://openaccess.thecvf.com/content/CVPR2023/html/Humayun_SplineCam_Exact_Visualization_and_Characterization_of_Deep_Network_Geometry_and_CVPR_2023_paper.html
doi:10.1007/978-3-032-09645-6_10	screened		2025	Computing Linear Regions in Neural Networks with Skip Connections	neural-region-enumeration	high	Enumerates exact activation vectors, region inequalities, and affine maps for networks with skip connections	
arxiv:2605.06218	screened		2026	AffineLens	neural-region-enumeration	high	Proves exhaustive bounded-domain BFS enumeration across broad neural architectures under full-dimensional assumptions	
doi:10.1007/bf00116251	screened		1986	Induction of Decision Trees	decision-trees	high	Classifies one input by evaluating only tests on its selected root-to-leaf path	
doi:10.1145/1596550.1596556	excluded	E7-duplicate-version	2009	Purely functional lazy non-deterministic programming	functional-logic-search	medium	Conference version of the purely functional lazy nondeterminism development; claims use the expanded 2011 journal treatment	
legacy:naylor2008thesis	excluded	E7-duplicate-version	2008		demand-driven-testing	medium	Dissertation lineage retained for discovery; claims use the peer-reviewed target-directed and Lazy SmallCheck papers	https://www.cs.york.ac.uk/library/reports/2009/YCST/02/YCST-2009-02.pdf
t:mediatummedienundpublikationsserver	excluded	E7-duplicate-version	2013	mediaTUM - Medien- und Publikationsserver	model-enumeration	medium	Dissertation lineage retained for discovery; claims use the peer-reviewed counterexample-generation treatments	https://mediatum.ub.tum.de/1115870
t:propertybasedtestingandpropertiesastypesahybridapproachtosupercompilerverificati	excluded	E7-duplicate-version	2013	Property-based Testing and Properties as Types: A hybrid approach to supercompiler verification - White Rose eTheses Online	demand-driven-testing	medium	Dissertation lineage retained for discovery; claims use the peer-reviewed Lazy SmallCheck developments	https://etheses.whiterose.ac.uk/id/eprint/5650/
doi:10.25560/7095	excluded	E7-duplicate-version	2011	Finding The Lazy Programmer's Bugs	demand-driven-testing	medium	Dissertation lineage retained for discovery; claims use the peer-reviewed high-coverage testing paper	
doi:10.1007/s12532-024-00266-8	deep-read		2025	B-differential enumeration	hyperplane-cell-enumeration	critical	Enumerates the B-differential of componentwise affine minima through complete central-arrangement cell enumeration with newer circuit and incremental algorithms	
doi:10.1080/00207170903159285	deep-read		2010	compositional hybrid mode enumeration	compositional-mode-enumeration	critical	Enumerates feasible modes of composed discrete hybrid automata by residual substitution and emits an equivalent guard-plus-affine PWA model	
doi:10.1007/3-540-36580-x_18	excluded	E7-duplicate-version	2003	Efficient Mode Enumeration of Compositional Hybrid Systems	compositional-mode-enumeration	medium	Conference version establishing priority for compositional hybrid mode enumeration; claims use the expanded journal treatment	
doi:10.1016/j.automatica.2007.11.027	deep-read		2008	optimal reduction of polyhedral piecewise systems	piecewise-region-minimization	critical	Computes exact minimum-cardinality disjoint or overlapping polyhedral representations by merging same-behavior cells under representation and solver qualifications	
doi:10.1109/cdc.2006.377799	deep-read		2006	reverse search for parametric linear programming	parametric-region-enumeration	critical	Proves duplicate-free output-sensitive reverse-search enumeration of full-dimensional pLP critical regions whose bases reconstruct affine optimizers	
doi:10.1016/j.ejor.2003.04.011	deep-read		2005	ray-shooting reverse search for central arrangements	hyperplane-cell-enumeration	critical	Proves pre-Rada ray-shooting reverse search for central-arrangement cells in output-polynomial time and input-polynomial working space	
doi:10.1016/j.jsc.2003.08.007	candidate		2004	From the zonotope construction to the Minkowski addition of convex polytopes	hyperplane-cell-enumeration	high	Relates zonotope construction to arrangement-region enumeration and compact parallel reverse search	
doi:10.1016/j.dam.2020.02.014	candidate		2021	Enumerating models of DNF faster: Breaking the dependency on the formula size	model-enumeration	high	Gives duplicate-free DNF model enumeration with fixed-width constant delay and monotone-DNF delay bounds	
doi:10.1016/j.dam.2018.06.038	candidate		2019	Incremental delay enumeration: Space and time	enumeration-complexity	high	Develops incremental-delay classes and time-space tradeoffs for enumeration algorithms	
doi:10.1093/bioinformatics/bty550	candidate		2018	Flux tope analysis: studying the coordination of reaction directions in metabolic networks	hyperplane-cell-enumeration	high	Enumerates feasible metabolic reaction-direction sign vectors with an adapted sparse reverse search	
doi:10.1007/978-3-030-66723-8_29	candidate		2021	Efficient Contact Mode Enumeration in 3D	contact-mode-enumeration	high	Enumerates all feasible 3D contact-mode assignments and their associated dynamical cases	
doi:10.1109/tac.2015.2465212	candidate		2016	Minimal Conjunctive Normal Expression of Continuous Piecewise Affine Functions	piecewise-function-representation	high	Computes minimum-parameter conjunctive normal expressions of continuous PWA functions through prime implicants and binary optimization	
doi:10.1109/cdc.2010.5717578	excluded	E7-duplicate-version	2010	Performance-lossless complexity reduction in Explicit MPC	piecewise-region-minimization	medium	Conference precursor of the expanded clipping-based journal treatment retained for priority	
doi:10.1016/j.automatica.2018.10.042	candidate		2019	Robust region elimination for piecewise affine control laws	piecewise-region-minimization	medium	Eliminates PWA controller regions proven unreachable from a specified initial set under uncertainty	
doi:10.1007/978-3-642-33125-1_6	candidate		2012	Polyhedral Analysis Using Parametric Objectives	parametric-region-enumeration	high	Uses parametric objectives to enumerate only nonredundant inequalities of polyhedral projections for program analysis	
doi:10.1002/cpe.6050	candidate		2020	A task‐based approach to parallel parametric linear programming solving, and application to polyhedral computations	parametric-region-enumeration	high	Parallelizes parametric-linear-program region discovery and redundancy elimination with a task-based scheme	
doi:10.1016/s0925-7721(01)00004-9	candidate		2001	Convexity recognition of the union of polyhedra	polyhedral-union-analysis	high	Recognizes convexity of polyhedral unions and constructs an exact representation when convex	
doi:10.1137/0213031	candidate		1984	Convex Partitions of Polyhedra: A Lower Bound and Worst-Case Optimal Algorithm	polyhedral-partitioning	high	Establishes lower bounds and worst-case optimal algorithms for convex partitions of polyhedra	
doi:10.3182/20120823-5-nl-3013.00079	screened		2012	Some remarks upon the characteristics of the explicit representation of the MPC problem	parametric-region-enumeration	medium	Bounds admissible MPC active sets and partially constructs an explicit partition, without an output quotient or equivalence theorem	
doi:10.1109/pc52310.2021.9447473	deep-read		2021	same-first-action sets for nonlinear MPC	piecewise-region-minimization	high	Extends same-first-action grouping to nonlinear MPC with sound inner approximations and exact fallback	
arxiv:2009.08764	deep-read		2020	requested-first-action grouping in explicit MPC	output-relative-equivalence	high	Proves that distinct explicit-MPC active-set regions can share the requested first action while later horizon actions differ; its three-work forward set adds no stronger maximality completeness or complexity result	
doi:10.1109/tac.2015.2417851	deep-read		2015	mpQP regions using NNLS polyhedral operations	parametric-region-enumeration	high	Constructs full-dimensional strict-convex mpQP critical regions under degeneracy using QP duality and nonnegative least-squares polyhedral operations	
doi:10.1109/tac.2011.2179428	deep-read		2012	exact clipped factorization of a PWA controller	piecewise-region-minimization	high	Constructs an exact filtered factorization by extending unsaturated affine pieces and clipping the result; pointwise identical but nonminimal	
doi:10.1016/j.automatica.2011.07.011	screened		2012	exact explicit MPC under nonconvex polyhedral constraints	parametric-region-enumeration	medium	Constructs an exact optimal-controller relation under nonconvex polyhedral constraints using region subdivision and sound but incomplete SOS pruning	
doi:10.1007/s10957-012-0022-9	candidate		2012	Enhancements on the Hyperplanes Arrangements in Mixed-Integer Programming Techniques	polyhedral-union-analysis	medium	Uses hyperplane arrangements and Boolean cell merging to represent complements and disconnected unions of polyhedra exactly; heuristic minimization may be nonminimum	
doi:10.1016/j.automatica.2013.02.018	deep-read		2013	exact separator representation of saturated outputs	piecewise-function-representation	high	Constructs an exact separator-based representation that removes saturated controller regions without a minimum or canonical guarantee	
doi:10.1023/b:jota.0000004869.66331.5c	screened		2003	geometric multiparametric-LP enumeration	parametric-region-enumeration	high	Exhaustively constructs full-dimensional multiparametric-LP critical regions and recovers affine optimizers by active-set exploration; 22-reference primary bibliography and 179-record COCI forward set audited	
doi:10.1016/j.automatica.2007.03.008	deep-read		2007	symbolic perturbation for degenerate mpLPs	parametric-region-enumeration	high	Uses symbolic lexicographic perturbation for complete degeneracy-safe mpLP region enumeration with a unique continuous affine optimizer; 23-reference primary bibliography and 49-record COCI forward set audited	
doi:10.3182/20050703-6-cz-1902.00903	candidate		2005	A METHOD FOR OBTAINING CONTINUOUS SOLUTIONS TO MULTIPARAMETRIC LINEAR PROGRAMS	parametric-region-enumeration	high	Constructs continuous solutions to multi-parametric linear programs across critical regions	
doi:10.1007/bf02293050	candidate		1992	A pivoting algorithm for convex hulls and vertex enumeration of arrangements and polyhedra	polyhedral-enumeration	high	Gives the earlier output-sensitive pivoting algorithm for convex hulls and vertex enumeration	
doi:10.1016/j.automatica.2010.06.008	deep-read		2010	degeneracy-safe convex-pQP region traversal	parametric-region-enumeration	high	Completely traverses full-dimensional convex-pQP critical regions and discovers every neighbor across a facet without nondegeneracy or facet-to-facet assumptions; 49-reference publisher bibliography and 45-record COCI forward set audited	
doi:10.1080/10556788.2019.1692344	candidate		2021	mts: a light framework for parallelizing tree search codes	parallel-enumeration	medium	Provides a lightweight parallel framework for reverse-search and other tree-search codes	
doi:10.1007/s12532-017-0129-y	candidate		2018	mplrs: A scalable parallel vertex/facet enumeration code	parallel-enumeration	medium	Implements scalable parallel reverse-search vertex and facet enumeration	
doi:10.1007/978-3-030-63618-0_14	candidate		2020	Combining Zonotope Abstraction and Constraint Programming for Synthesizing Inductive Invariants	zonotope-analysis	medium	Uses arrangement-sign enumeration inside recursive zonotope tiling for invariant synthesis	
doi:10.1007/s10107-024-02079-y	candidate		2024	A normal fan projection algorithm for low-rank optimization	low-rank-optimization	medium	Uses normal-fan projection for low-rank optimization over polytopes	
doi:10.1016/j.comgeo.2021.101809	deep-read		2022	rational zonotope-vertex traversal	zonotope-enumeration	high	Gives a self-contained rational-bit-model output-polynomial zonotope-vertex traversal; it retains output-sized state and does not improve the Ferrez LP-relative bound	
doi:10.1007/978-3-032-03844-9_9	deep-read		2026	symmetry-aware zonotope enumeration	zonotope-enumeration	high	Adds symmetry-orbit representatives and instance-specific filters to layered zonotope-vertex enumeration without improving the generic worst-case bound	
arxiv:2009.08332	screened		2020	empirical capped same-action enumeration	output-relative-equivalence	medium	Empirically evaluates a capped sound-incomplete enumeration of active-set polytopes sharing the requested first action; adds no maximal quotient completeness or asymptotic bound	
doi:10.1016/s0005-1098(02)00250-9	candidate		2003	An algorithm for multi-parametric quadratic programming and explicit MPC solutions	parametric-region-enumeration	high	Foundational active-set algorithm for multi-parametric quadratic programming and explicit MPC solution maps	
doi:10.1109/acc.2005.1470060	excluded	E7-duplicate-version	2005	Unique polyhedral representations of continuous selections for convex multiparametric quadratic programs	parametric-region-enumeration	medium	Conference precursor of the retained unique minimum-norm polyhedral-selection article	
